dataset,Accuracy,RMSE,Fscore,Kappa,PRC,AUC,nInstances,nClasses,nAttributes,Algorithm,RunTime,avgMissCost,AvgTotalCost,median1,mean1,sdt1,skewness1,median2,mean2,sdt2,skewness2,median3,mean3,sdt3,skewness3,median4,mean4,sdt4,skewness4,SAR
pca_abalone,20.95,0.2,0.21,0.12,0.19,0.62,4177,28,4,J48,4171,1.16,484,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.54
pca_abalone,19.56,0.18,0.08,0.07,0.15,0.63,4177,28,4,DecisionStump,326,1.32,552.6,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.55
pca_abalone,20.37,0.19,0.2,0.1,0.19,0.64,4177,28,4,RandomForest,6610,1.24,518.6,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.55
pca_abalone,19.73,0.2,0.2,0.1,0.18,0.6,4177,28,4,PART,113939,1.19,498.6,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.53
pca_abalone,26.02,0.17,0.22,0.15,0.22,0.71,4177,28,4,DecisionTable,2801,1.21,506,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.6
pca_abalone,18.03,0.18,0.08,0.02,0.13,0.53,4177,28,4,JRip,11341,1.33,555.9,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.51
pca_abalone,21.16,0.24,0.2,0.11,0.14,0.55,4177,28,4,OneR,115,1.24,518.8,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.51
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,ZeroR,39,1.33,556.9,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.5
pca_abalone,18.48,0.24,0.19,0.09,0.15,0.53,4177,28,4,IBk,1115,1.22,509.3,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.49
pca_abalone,22.91,0.18,0.22,0.13,0.23,0.71,4177,28,4,KStar,221357,1.21,504.2,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.59
pca_abalone,21.67,0.18,0.12,0.09,0.22,0.7,4177,28,4,LWL,126782,1.26,527.7,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.58
pca_abalone,23.94,0.18,0.2,0.13,0.22,0.71,4177,28,4,NaiveBayes,366,1.29,540.7,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.59
pca_abalone,19.56,0.18,0.08,0.07,0.15,0.63,4177,28,4,AdaBoostM1,414,1.32,552.6,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.55
pca_abalone,23.13,0.18,0.22,0.13,0.23,0.71,4177,28,4,Bagging,6077,1.21,507.3,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.59
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,Stacking,123,1.33,556.9,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.5
pca_abalone,25.23,0.17,0.23,0.14,0.25,0.73,4177,28,4,LogitBoost,13477,1.21,507.1,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.6
pca_abalone,19.63,0.2,0.19,0.1,0.19,0.63,4177,28,4,RandomCommittee,17743,1.22,509.2,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.54
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,Vote,44,1.33,556.9,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.5
pca_abalone,25.42,0.17,0.22,0.14,0.24,0.73,4177,28,4,Logistic,1029894,1.23,513.3,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.6
pca_abalone,25.4,0.17,0.21,0.15,0.26,0.73,4177,28,4,MultilayerPerceptron,464719,1.25,520.2,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.61
pca_abalone,25.93,0.17,0.23,0.15,0.24,0.73,4177,28,4,SimpleLogistic,109603,1.22,509.4,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.6
pca_abalone,22.12,0.18,0.15,0.1,0.2,0.7,4177,28,4,SMO,27169,1.26,527.2,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,0.58
pca_abalone,26.24,0.05,0.23,0.15,0.14,0.53,4177,28,4,SVM,52.58,1.2,5033,0.77189283,0.328354769,0.000192671,0.22464522,0.436995302,0.054677721,0.000410736,0.826153009,0.567531315,0.000419139,0.683024585,0.001739245,0.157506294,0.37824861,0.002632808,0.291769629,0.5808
pca_arrhythmia,47.56,0.23,0.45,0.17,0.45,0.61,452,16,4,J48,309,0.83,37.5,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.62
pca_arrhythmia,53.55,0.21,0.39,0.03,0.36,0.52,452,16,4,DecisionStump,30,0.91,41.3,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.62
pca_arrhythmia,51.77,0.21,0.46,0.17,0.49,0.64,452,16,4,RandomForest,591,0.83,37.4,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.65
pca_arrhythmia,45.57,0.23,0.44,0.15,0.46,0.6,452,16,4,PART,737,0.84,37.9,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.61
pca_arrhythmia,54.43,0.2,0.43,0.12,0.44,0.62,452,16,4,DecisionTable,195,0.85,38.3,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.65
pca_arrhythmia,56.43,0.2,0.46,0.16,0.41,0.58,452,16,4,JRip,679,0.82,37,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.65
pca_arrhythmia,46.91,0.26,0.4,0.08,0.38,0.54,452,16,4,OneR,20,0.87,39.4,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.58
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,ZeroR,8,0.92,41.4,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.61
pca_arrhythmia,47.79,0.25,0.47,0.2,0.45,0.59,452,16,4,IBk,34,0.79,35.7,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.61
pca_arrhythmia,46.25,0.22,0.42,0.13,0.52,0.68,452,16,4,KStar,1725,0.84,38.2,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.64
pca_arrhythmia,56.43,0.2,0.43,0.11,0.54,0.68,452,16,4,LWL,793,0.85,38.5,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.68
pca_arrhythmia,58.64,0.19,0.5,0.25,0.55,0.7,452,16,4,NaiveBayes,40,0.75,33.7,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.7
pca_arrhythmia,53.55,0.21,0.39,0.03,0.36,0.52,452,16,4,AdaBoostM1,41,0.91,41.3,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.62
pca_arrhythmia,55.98,0.2,0.47,0.18,0.56,0.7,452,16,4,Bagging,499,0.81,36.5,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.69
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,Stacking,18,0.92,41.4,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.61
pca_arrhythmia,54.67,0.2,0.49,0.22,0.52,0.67,452,16,4,LogitBoost,886,0.76,34.4,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.67
pca_arrhythmia,49.31,0.22,0.47,0.19,0.5,0.64,452,16,4,RandomCommittee,873,0.81,36.8,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.64
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,Vote,84,0.92,41.4,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.61
pca_arrhythmia,57.53,0.2,0.49,0.22,0.58,0.72,452,16,4,Logistic,3744,0.77,34.9,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.7
pca_arrhythmia,56,0.2,0.51,0.25,0.55,0.7,452,16,4,MultilayerPerceptron,21170,0.73,33.1,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.69
pca_arrhythmia,58.64,0.2,0.49,0.22,0.57,0.72,452,16,4,SimpleLogistic,5461,0.76,34.5,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.7
pca_arrhythmia,54.88,0.23,0.4,0.02,0.41,0.55,452,16,4,SMO,6662,0.9,40.8,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.62
pca_arrhythmia,54,0.24,0.38,0,0.33,0.5,452,16,4,SVM,5,0.46,207,0.773879483,0.37969556,0.006813571,0.705425221,0.139588812,0.043292581,0.011402747,0.849103139,0.557564478,0.027123953,0.661165249,0.05790253,0.14138776,0.388888889,0.202508629,0.303903351,0.6
pca_art01,86,0.34,0.86,0.71,0.84,0.87,100,2,4,J48,78,0.18,1.8,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.8
pca_art01,84,0.37,0.84,0.67,0.8,0.84,100,2,4,DecisionStump,13,0.23,2.3,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.77
pca_art01,85,0.32,0.85,0.69,0.93,0.93,100,2,4,RandomForest,80,0.2,2,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.82
pca_art01,87,0.33,0.87,0.73,0.85,0.88,100,2,4,PART,15,0.17,1.7,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.81
pca_art01,87,0.33,0.87,0.73,0.86,0.88,100,2,4,DecisionTable,49,0.17,1.7,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.81
pca_art01,85,0.36,0.85,0.7,0.82,0.84,100,2,4,JRip,34,0.19,1.9,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.78
pca_art01,79,0.45,0.78,0.57,0.74,0.78,100,2,4,OneR,26,0.28,2.8,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.71
pca_art01,50,0.53,0.34,0,0.52,0.5,100,2,4,ZeroR,2,0.5,5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.49
pca_art01,85,0.35,0.85,0.7,0.82,0.85,100,2,4,IBk,10,0.23,2.3,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.78
pca_art01,82,0.37,0.82,0.63,0.94,0.93,100,2,4,KStar,91,0.24,2.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.79
pca_art01,84,0.36,0.84,0.67,0.98,0.97,100,2,4,LWL,23,0.23,2.3,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.82
pca_art01,87,0.3,0.87,0.73,0.98,0.97,100,2,4,NaiveBayes,12,0.15,1.5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.85
pca_art01,86,0.32,0.86,0.71,0.94,0.94,100,2,4,AdaBoostM1,39,0.19,1.9,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.83
pca_art01,87,0.33,0.87,0.73,0.89,0.89,100,2,4,Bagging,48,0.16,1.6,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.81
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Stacking,7,0.5,5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.49
pca_art01,83,0.34,0.83,0.66,0.93,0.93,100,2,4,LogitBoost,45,0.24,2.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.81
pca_art01,83,0.36,0.83,0.65,0.89,0.89,100,2,4,RandomCommittee,53,0.24,2.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.79
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Vote,1,0.5,5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.49
pca_art01,89,0.3,0.89,0.77,0.97,0.96,100,2,4,Logistic,40,0.14,1.4,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.85
pca_art01,89,0.29,0.89,0.76,0.98,0.97,100,2,4,MultilayerPerceptron,740,0.15,1.5,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.86
pca_art01,87,0.31,0.87,0.73,0.96,0.96,100,2,4,SimpleLogistic,437,0.16,1.6,0.771810299,0.170418692,5.50E-05,0.667489588,0.972231735,0.059863112,0.000165586,0.825325726,0.761473772,0.000184627,0.684678617,0.000466212,0.157563669,0.452380952,0.0015591,0.295708432,0.84
