dataset,Accuracy,RMSE,Fscore,Kappa,PRC,AUC,nInstances,nClasses,nAttributes,Algorithm,RunTime,ClassInt,AttrClass,median1,mean1,sdt1,skewness1,median2,mean2,sdt2,skewness2,median3,mean3,sdt3,skewness3,median4,mean4,sdt4,skewness4,entro_Class,totalCorr,SAR
pca_abalone,22.91,0.18,0.22,0.13,0.23,0.71,4177,28,4,KStar,221357,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.59
pca_abalone,21.67,0.18,0.12,0.09,0.22,0.7,4177,28,4,LWL,126782,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.58
pca_abalone,23.94,0.18,0.2,0.13,0.22,0.71,4177,28,4,NaiveBayes,366,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.59
pca_abalone,26.24,0.05,0.23,0.15,0.14,0.53,4177,28,4,SVM,52.58,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.5808
pca_abalone,20.95,0.2,0.21,0.12,0.19,0.62,4177,28,4,J48,4171,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.54
pca_abalone,19.56,0.18,0.08,0.07,0.15,0.63,4177,28,4,DecisionStump,326,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.55
pca_abalone,20.37,0.19,0.2,0.1,0.19,0.64,4177,28,4,RandomForest,6610,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.55
pca_abalone,19.73,0.2,0.2,0.1,0.18,0.6,4177,28,4,PART,113939,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.53
pca_abalone,26.02,0.17,0.22,0.15,0.22,0.71,4177,28,4,DecisionTable,2801,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.6
pca_abalone,18.03,0.18,0.08,0.02,0.13,0.53,4177,28,4,JRip,11341,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.51
pca_abalone,21.16,0.24,0.2,0.11,0.14,0.55,4177,28,4,OneR,115,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.51
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,ZeroR,39,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.5
pca_abalone,18.48,0.24,0.19,0.09,0.15,0.53,4177,28,4,IBk,1115,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.49
pca_abalone,23.13,0.18,0.22,0.13,0.23,0.71,4177,28,4,Bagging,6077,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.59
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,Stacking,123,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.5
pca_abalone,25.23,0.17,0.23,0.14,0.25,0.73,4177,28,4,LogitBoost,13477,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.6
pca_abalone,19.56,0.18,0.08,0.07,0.15,0.63,4177,28,4,AdaBoostM1,414,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.55
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,Vote,44,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.5
pca_abalone,25.42,0.17,0.22,0.14,0.24,0.73,4177,28,4,Logistic,1029894,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.6
pca_abalone,25.4,0.17,0.21,0.15,0.26,0.73,4177,28,4,MultilayerPerceptron,464719,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.61
pca_abalone,19.63,0.2,0.19,0.1,0.19,0.63,4177,28,4,RandomCommittee,17743,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.54
pca_abalone,22.12,0.18,0.15,0.1,0.2,0.7,4177,28,4,SMO,27169,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.58
pca_abalone,25.93,0.17,0.23,0.15,0.24,0.73,4177,28,4,SimpleLogistic,109603,0.006703376,0.142857143,0.156084,-1.20E-09,2.631998916,-0.029669665,0.211768,1.68E-09,1.232815026,-0.060836655,0.064805,-1.92E-09,0.954730292,-0.130707928,-0.003599,2.15E-09,0.526674081,-15.02393964,2.493613143,8.784223088,0.6
pca_arrhythmia,53.55,0.21,0.39,0.03,0.36,0.52,452,16,4,DecisionStump,30,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.62
pca_arrhythmia,51.77,0.21,0.46,0.17,0.49,0.64,452,16,4,RandomForest,591,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.65
pca_arrhythmia,47.56,0.23,0.45,0.17,0.45,0.61,452,16,4,J48,309,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.62
pca_arrhythmia,55.98,0.2,0.47,0.18,0.56,0.7,452,16,4,Bagging,499,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.69
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,Stacking,18,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.61
pca_arrhythmia,54.67,0.2,0.49,0.22,0.52,0.67,452,16,4,LogitBoost,886,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.67
pca_arrhythmia,45.57,0.23,0.44,0.15,0.46,0.6,452,16,4,PART,737,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.61
pca_arrhythmia,54.43,0.2,0.43,0.12,0.44,0.62,452,16,4,DecisionTable,195,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.65
pca_arrhythmia,56.43,0.2,0.46,0.16,0.41,0.58,452,16,4,JRip,679,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.65
pca_arrhythmia,46.91,0.26,0.4,0.08,0.38,0.54,452,16,4,OneR,20,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.58
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,ZeroR,8,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.61
pca_arrhythmia,47.79,0.25,0.47,0.2,0.45,0.59,452,16,4,IBk,34,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.61
pca_arrhythmia,46.25,0.22,0.42,0.13,0.52,0.68,452,16,4,KStar,1725,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.64
pca_arrhythmia,56.43,0.2,0.43,0.11,0.54,0.68,452,16,4,LWL,793,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.68
pca_arrhythmia,58.64,0.19,0.5,0.25,0.55,0.7,452,16,4,NaiveBayes,40,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.7
pca_arrhythmia,53.55,0.21,0.39,0.03,0.36,0.52,452,16,4,AdaBoostM1,41,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.62
pca_arrhythmia,49.31,0.22,0.47,0.19,0.5,0.64,452,16,4,RandomCommittee,873,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.64
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,Vote,84,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.61
pca_arrhythmia,57.53,0.2,0.49,0.22,0.58,0.72,452,16,4,Logistic,3744,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.7
pca_arrhythmia,56,0.2,0.51,0.25,0.55,0.7,452,16,4,MultilayerPerceptron,21170,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.69
pca_arrhythmia,58.64,0.2,0.49,0.22,0.57,0.72,452,16,4,SimpleLogistic,5461,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.7
pca_arrhythmia,54.88,0.23,0.4,0.02,0.41,0.55,452,16,4,SMO,6662,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.62
pca_arrhythmia,54,0.24,0.38,0,0.33,0.5,452,16,4,SVM,5,0.03539823,0.25,10.823222,1.33E-08,82.78537577,-0.706967845,5.918789,7.13E-17,66.65432107,-0.845323843,-1.597195,9.31E-18,64.2519769,0.611319701,-1.0941675,6.64E-09,61.36352522,0.975415832,1.651556431,6.379372653,0.6
pca_art01,89,0.29,0.89,0.76,0.98,0.97,100,2,4,MultilayerPerceptron,740,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.86
pca_art01,83,0.36,0.83,0.65,0.89,0.89,100,2,4,RandomCommittee,53,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.79
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Vote,1,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.49
