Accuracy,RMSE,Fscore,Kappa,PRC,AUC,SAR,Dataset,nInstances,nClasses,nAttributes,Algorithm,RunTime,avgMissCost,AvgTotalCost,median1,mean1,sdt1,mean2,sdt2,skewness2,median3,mean3,sdt3,skewness3,median4,mean4,sdt4,skewness4
78.11,0.26,0.8,0.54,0.89,0.85,0.79,pca_car,1728,4,4,J48,268,0.32,54.7,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
70.01,0.32,0.58,0.1,0.69,0.64,0.67,pca_car,1728,4,4,DecisionStump,24,0.6,103.6,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
78.11,0.26,0.8,0.54,0.91,0.86,0.79,pca_car,1728,4,4,RandomForest,443,0.32,54.7,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
78.11,0.26,0.8,0.54,0.89,0.85,0.79,pca_car,1728,4,4,PART,186,0.32,54.7,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
78.11,0.26,0.8,0.54,0.91,0.86,0.79,pca_car,1728,4,4,DecisionTable,429,0.32,54.7,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
75.97,0.31,0.75,0.43,0.76,0.7,0.72,pca_car,1728,4,4,JRip,423,0.41,70.8,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
78.58,0.32,0.8,0.55,0.81,0.78,0.75,pca_car,1728,4,4,OneR,25,0.31,54.2,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
70.01,0.34,0.58,0.1,0.58,0.45,0.6,pca_car,1728,4,4,ZeroR,9,0.6,103.6,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
78.11,0.26,0.8,0.54,0.91,0.86,0.79,pca_car,1728,4,4,IBk,222,0.32,54.7,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
79.5,0.26,0.8,0.57,0.9,0.85,0.8,pca_car,1728,4,4,KStar,6340,0.31,52.9,0.771875031,0.595397813,2.30E-05,0.060338833,8.62E-05,0.825951996,0.337292091,0.000151649,0.697243526,0.000648255,0.157144132,0.183127572,0.001441671,0.291862597
