dataset,Accuracy,RMSE,Fscore,Kappa,PRC,AUC,nInstances,nClasses,nAttributes,Algorithm,RunTime,avgMissCost,AvgTotalCost,SAR,median1,mean1,sdt1,skewness1,mad1,median2,mean2,sdt2,skewness2,mad2,median3,mean3,sdt3,skewness3,mad3,median4,mean4,sdt4,skewness4,mad4,entro_Class,totalCorr
pca_abalone,22.91,0.18,0.22,0.13,0.23,0.71,4177,28,4,KStar,221357,1.21,504.2,0.59,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,21.67,0.18,0.12,0.09,0.22,0.7,4177,28,4,LWL,126782,1.26,527.7,0.58,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,23.94,0.18,0.2,0.13,0.22,0.71,4177,28,4,NaiveBayes,366,1.29,540.7,0.59,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,26.24,0.05,0.23,0.15,0.14,0.53,4177,28,4,SVM,52.58,1.2,5033,0.5808,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,20.95,0.2,0.21,0.12,0.19,0.62,4177,28,4,J48,4171,1.16,484,0.54,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,19.56,0.18,0.08,0.07,0.15,0.63,4177,28,4,DecisionStump,326,1.32,552.6,0.55,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,20.37,0.19,0.2,0.1,0.19,0.64,4177,28,4,RandomForest,6610,1.24,518.6,0.55,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,19.73,0.2,0.2,0.1,0.18,0.6,4177,28,4,PART,113939,1.19,498.6,0.53,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,26.02,0.17,0.22,0.15,0.22,0.71,4177,28,4,DecisionTable,2801,1.21,506,0.6,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,18.03,0.18,0.08,0.02,0.13,0.53,4177,28,4,JRip,11341,1.33,555.9,0.51,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,21.16,0.24,0.2,0.11,0.14,0.55,4177,28,4,OneR,115,1.24,518.8,0.51,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
