dataset,Accuracy,ErrorRate,Algorithm,,,AvgErr
pca_abalone,21.03675871,0.789632413,J48,,,0.371013731
pca_abalone,20.72743804,0.79272562,DecisionStump,,,
pca_abalone,20.43073328,0.795692667,RandomForest,,,
pca_abalone,20.63550051,0.793644995,PART,,,
pca_abalone,27.1037695,0.728962305,DecisionTable,,,
pca_abalone,18.80636057,0.811936394,JRip,,,
pca_abalone,21.2943834,0.787056166,OneR,,,
pca_abalone,17.19159275,0.828084073,ZeroR,,,
pca_abalone,18.75306945,0.812469306,IBk,,,
pca_abalone,23.08929514,0.769107049,KStar,,,
pca_abalone,21.91084829,0.780891517,LWL,,,
pca_abalone,24.12109458,0.758789054,NaiveBayes,,,
pca_abalone,20.18182239,0.798181776,AdaBoostM1,,,
pca_abalone,24.1462208,0.758537792,Bagging,,,
pca_abalone,16.64451641,0.833554836,Stacking,,,
pca_abalone,26.38435349,0.736156465,LogitBoost,,,
pca_abalone,20.38780798,0.79612192,RandomCommittee,,,
pca_abalone,17.13443833,0.828655617,Vote,,,
pca_abalone,25.93971617,0.740602838,Logistic,,,
pca_abalone,26.47342404,0.73526576,MultilayerPerceptron,,,
pca_abalone,26.47966129,0.735203387,SimpleLogistic,,,
pca_abalone,22.17531512,0.778246849,SMO,,,
pca_abalone,27.37010191,0.726298981,SVM,,,
pca_arrhythmia,47.68888207,0.523111179,J48,,,
pca_arrhythmia,54.35569754,0.456443025,DecisionStump,,,
pca_arrhythmia,52.94682382,0.470531762,RandomForest,,,
pca_arrhythmia,46.33055838,0.536694416,PART,,,
pca_arrhythmia,54.61163104,0.45388369,DecisionTable,,,
pca_arrhythmia,56.67085711,0.433291429,JRip,,,
pca_arrhythmia,47.84024858,0.521597514,OneR,,,
pca_arrhythmia,55.26146828,0.447385317,ZeroR,,,
pca_arrhythmia,48.85928052,0.511407195,IBk,,,
pca_arrhythmia,47.04243078,0.529575692,KStar,,,
pca_arrhythmia,57.32253181,0.426774682,LWL,,,
pca_arrhythmia,59.66174072,0.403382593,NaiveBayes,,,
pca_arrhythmia,53.96483135,0.460351687,AdaBoostM1,,,
pca_arrhythmia,56.19767848,0.438023215,Bagging,,,
pca_arrhythmia,55.02836947,0.449716305,Stacking,,,
pca_arrhythmia,54.83133729,0.451686627,LogitBoost,,,
pca_arrhythmia,49.74487971,0.502551203,RandomCommittee,,,
pca_arrhythmia,54.40415346,0.455958465,Vote,,,
pca_arrhythmia,57.87975026,0.421202497,Logistic,,,
pca_arrhythmia,56.06893391,0.439310661,MultilayerPerceptron,,,
pca_arrhythmia,59.19732124,0.408026788,SimpleLogistic,,,
pca_arrhythmia,55.02690665,0.449730934,SMO,,,
pca_arrhythmia,54.73822055,0.452617795,SVM,,,
pca_art01,86.3590052,0.136409948,J48,,,
pca_art01,85.00005822,0.149999418,DecisionStump,,,
pca_art01,85.28933655,0.147106635,RandomForest,,,
pca_art01,87.11566664,0.128843334,PART,,,
pca_art01,87.35381625,0.126461838,DecisionTable,,,
pca_art01,85.81052225,0.141894778,JRip,,,
pca_art01,79.37709579,0.206229042,OneR,,,
pca_art01,50.35019435,0.496498057,ZeroR,,,
pca_art01,85.33557775,0.146644223,IBk,,,
pca_art01,82.92577401,0.17074226,KStar,,,
pca_art01,85.17024176,0.148297582,LWL,,,
pca_art01,87.0665691,0.129334309,NaiveBayes,,,
pca_art01,86.26502679,0.137349732,AdaBoostM1,,,
pca_art01,87.89086647,0.121091335,Bagging,,,
pca_art01,50.9747754,0.490252246,Stacking,,,
pca_art01,83.91883371,0.160811663,LogitBoost,,,
pca_art01,83.60061176,0.163993882,RandomCommittee,,,
pca_art01,50.48808579,0.495119142,Vote,,,
pca_art01,90.14054964,0.098594504,Logistic,,,
pca_art01,89.76534312,0.102346569,MultilayerPerceptron,,,
pca_art01,88.07079451,0.119292055,SimpleLogistic,,,
pca_art01,85.30092094,0.146990791,SMO,,,
pca_art01,87.8354661,0.121645339,SVM,,,
pca_art03,72.88366553,0.271163345,J48,,,
pca_art03,54.22495781,0.457750422,DecisionStump,,,
pca_art03,74.12749173,0.258725083,RandomForest,,,
pca_art03,78.98720985,0.210127901,PART,,,
pca_art03,69.7934543,0.302065457,DecisionTable,,,
pca_art03,68.52707092,0.314729291,JRip,,,
pca_art03,53.61906899,0.46380931,OneR,,,
pca_art03,33.2134462,0.667865538,ZeroR,,,
pca_art03,68.66495067,0.313350493,IBk,,,
pca_art03,60.5489361,0.394510639,KStar,,,
pca_art03,55.52391468,0.444760853,LWL,,,
pca_art03,69.26296869,0.307370313,NaiveBayes,,,
pca_art03,54.45531531,0.455446847,AdaBoostM1,,,
pca_art03,75.84037637,0.241596236,Bagging,,,
pca_art03,34.18005563,0.658199444,Stacking,,,
pca_art03,71.57860341,0.284213966,LogitBoost,,,
pca_art03,69.40852996,0.3059147,RandomCommittee,,,
pca_art03,33.00740746,0.669925925,Vote,,,
pca_art03,71.71346339,0.282865366,Logistic,,,
pca_art03,70.49589368,0.295041063,MultilayerPerceptron,,,
pca_art03,74.19660693,0.258033931,SimpleLogistic,,,
pca_art03,69.38225735,0.306177427,SMO,,,
pca_art03,58.12915866,0.418708413,SVM,,,
pca_art04,72.76604697,0.27233953,J48,,,
pca_art04,34.7245742,0.652754258,DecisionStump,,,
