@relation art00-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute att0 numeric
@attribute att1 numeric
@attribute class {0,1}

@data
0.280556,0.485319,1
-0.757946,-0.582559,0
-1.568092,-1.732947,0
0.148711,0.506591,1
1.063497,1.40517,1
1.188051,0.658765,1
1.693464,1.242832,1
-0.782443,-0.602292,0
-2.043532,-2.170425,0
-0.457774,-0.240513,0
-0.487536,-0.44595,1
0.428448,1.333109,1
0.964578,0.040807,1
0.444871,0.41545,1
-0.376983,-0.44423,0
0.925335,1.309851,1
0.692381,0.287579,1
3.683363,1.663035,1
1.403144,0.11254,1
-0.542005,-0.520152,0
1.165089,0.69388,1
1.10526,1.310979,1
-0.547207,-0.43467,0
-1.217254,-1.128908,0
-1.814583,-2.035108,0
-1.138131,-0.910181,0
-1.064442,0.390556,1
1.284124,0.8771,1
0.799438,1.447301,1
0.287412,1.394179,1
-0.907321,-0.966485,0
-1.455653,-1.606645,0
-1.523071,-1.581341,0
0.837767,1.066869,1
-0.669228,-0.793343,0
-1.782194,-2.082455,0
-1.67609,-1.853618,0
0.429725,0.96921,1
-0.655583,-0.748415,0
-1.586335,-1.612536,0
-1.420371,-1.602773,0
1.760867,0.612353,1
2.168473,1.086272,1
-0.972211,-1.024508,0
0.220136,1.431037,1
0.037916,0.219388,0
-1.510634,-1.868125,0
1.229135,1.00459,1
-1.709854,-1.814915,0
0.123656,1.173126,1
-0.715869,0.296694,1
-1.552672,-1.642367,0
0.07447,0.463096,0
-0.732639,-0.465281,0
-0.401135,-0.195686,0
-0.632943,0.618015,1
-0.652032,-0.561293,0
0.776591,0.051667,1
-0.799226,-0.953943,0
-0.931124,-0.923129,0
0.348468,1.675342,1
1.275497,0.411696,1
0.890466,1.179717,1
2.872829,1.171371,1
0.417674,1.138933,1
-1.461725,-1.380924,0
0.345874,0.7169,1
0.20102,0.276802,1
0.016682,0.480087,1
-0.843726,-0.828692,0
-1.38434,-1.359037,0
1.796809,0.876591,1
0.942055,1.208871,1
-1.014828,-0.770658,0
-0.402226,-0.025047,0
-0.261915,0.421188,1
2.315964,1.424601,1
-0.891714,-0.789978,0
0.017906,1.451569,1
-1.050715,-0.953844,0
-1.618289,-1.787356,0
-0.028549,0.406496,1
-0.221692,0.006929,0
0.236427,0.645463,1
-0.137248,0.227329,0
-2.205272,0.114307,1
-0.442804,-0.373889,0
-2.234083,-2.436712,0
2.627127,1.167796,1
-0.448913,0.624154,1
2.740479,1.343635,1
0.772458,0.477121,1
-0.107604,0.652104,1
-0.028699,0.315048,0
0.709725,1.171407,1
-1.556773,-1.737154,0
-1.921144,-2.008798,0
-1.90803,-2.102948,0
-0.452622,-0.304746,0
-2.709466,-3.469543,0
