@relation art01-weka.filters.unsupervised.attribute.NumericToNominal-R8

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute class {0,1}

@data
-0.721129,-1.16174,0.432469,-1.964593,-1.256155,2.673048,-2.481053,1
-0.52029,-1.44305,3.979235,-1.077518,1.062987,-0.16009,0.712799,0
0.77934,-2.644556,0.670223,-0.450059,1.924073,2.126869,-0.462724,0
3.230796,-2.473396,0.870029,-4.52214,-1.022877,-0.238801,2.358393,1
1.294437,-0.999197,2.483598,0.850904,-1.14545,1.393016,-0.045776,1
-0.382542,1.525063,-0.449593,-0.690106,-0.074863,0.859993,-2.062231,1
1.204,-2.643688,1.568914,3.199174,0.941553,-1.493989,2.788486,0
1.754763,-3.912663,0.721895,0.946807,3.660389,0.666199,0.24679,0
-0.097061,-2.248028,2.196694,-2.383698,0.18027,1.975664,-2.971332,1
2.606807,-4.152711,2.967473,0.301765,0.127706,1.953273,-0.308644,1
1.225499,-1.74233,1.124086,2.902558,0.576089,-1.275203,2.670132,0
2.625152,-1.809594,0.934133,-0.511442,2.608908,0.364809,-0.620005,0
-1.656153,0.85882,-0.40197,0.216252,-2.08115,2.173146,-3.907834,1
0.208763,-1.597752,-1.917032,0.022143,-1.630376,1.86087,-0.436027,1
1.38695,0.68936,-0.696127,-0.069881,1.68371,-0.702234,-0.942817,0
1.207386,1.16918,2.249195,-2.483279,-2.055496,2.798197,-0.755669,1
2.181104,1.946254,1.129214,3.674876,-0.420825,-0.228425,-0.009083,1
0.323174,-1.788329,-1.32281,-0.0361,-2.106303,0.000858,-1.151893,1
0.832819,-2.136949,0.089384,0.662259,-1.180036,0.422234,-1.666135,1
-0.043719,0.528392,-0.367311,1.449664,0.655234,-1.641195,1.243282,0
0.499747,0.248257,-1.14129,0.228331,2.280805,0.050449,0.619569,0
0.586654,-1.739557,0.517617,-2.768942,-1.041844,0.045295,-0.486617,1
1.533473,-3.070879,2.993298,-0.645309,-2.7678,5.539653,-0.17201,1
1.132292,-2.222906,2.199737,1.149837,-0.928141,2.543369,-3.074391,1
0.995039,4.487261,-4.046028,-2.652125,1.216525,-0.432446,-3.680162,0
2.340959,-0.627288,1.770079,3.386712,-0.116851,-3.214534,4.107376,0
2.67648,-1.358422,2.223667,-0.318503,-0.168474,-1.444362,1.849772,1
1.84308,-2.663531,-0.892183,-0.454594,-1.566783,0.647066,0.880086,1
1.476105,-0.604748,0.697948,2.788551,1.003281,-3.075759,2.408533,0
1.614481,-4.38671,0.754342,-1.411923,-0.705137,0.163132,-1.235733,1
2.539681,-1.507062,0.119402,-3.083586,0.009,-0.414532,1.317395,1
1.127581,-1.569633,0.464658,0.511188,3.862137,-2.14536,0.658074,0
0.115548,1.075232,-0.688606,3.015775,1.264452,-3.339623,3.445819,0
-0.761452,-1.603233,3.5882,2.121973,-0.101393,5.163236,-4.548567,1
0.82801,0.006743,0.493092,-2.153217,-3.215385,2.643455,-0.353091,1
-0.751682,-0.167268,2.683517,1.54103,-1.876834,-1.911236,1.344457,0
1.106933,-2.969469,2.807713,-0.636817,-0.322982,3.205608,-0.805072,1
0.396123,-3.12554,4.563307,2.115334,-0.672286,-1.739311,1.565105,0
1.655882,-1.454978,2.246949,-4.758849,0.841787,-0.320457,-0.76588,1
0.372262,-0.287519,-0.168415,-0.442342,2.279119,0.447084,-0.119286,0
2.418106,-2.108159,1.187633,2.832923,1.759754,-2.528194,2.032793,0
0.234921,-1.114514,-1.372148,0.696484,-1.731005,1.15249,0.014868,1
0.024181,0.604073,0.308084,2.830664,-0.086353,-3.37065,3.034153,0
1.3348,0.734649,0.603707,1.650949,-0.378226,-0.64811,-2.870765,1
-1.17853,-0.833205,0.972937,0.246244,0.935993,-1.480819,0.224701,0
0.48838,1.655591,-0.821949,0.076658,0.841174,-1.692338,0.123381,0
-0.717161,-1.393636,0.645045,-3.298421,-1.391751,1.285039,-3.825443,1
0.391831,2.504735,1.240223,-0.407507,-0.26337,1.055446,-3.092357,1
-0.228073,0.116978,1.944976,-0.358847,-0.908651,1.468828,-2.84667,1
2.098392,-0.126576,1.413174,-1.444396,0.904804,0.118447,-0.246234,0
-0.344382,-1.826073,1.159553,0.14024,-1.149637,3.62471,-2.810969,1
1.149466,-2.664611,1.494553,2.173562,1.378253,-1.547205,1.706371,0
2.095017,1.273462,1.437695,-0.062658,0.823613,-1.819508,0.455261,0
1.600479,-0.449934,1.08901,-0.954312,2.589692,0.516505,0.698934,0
1.621487,-1.674208,4.456797,0.472314,-0.382707,3.020826,-1.376694,1
1.669399,-0.719016,1.380205,-0.112237,0.188888,0.029522,-1.233629,1
1.412565,-1.661604,0.388673,-0.013203,4.111732,-0.378955,1.620228,0
1.272064,-0.057385,1.145141,0.808072,0.8401,-0.66992,0.761109,0
-1.103484,0.48289,1.680838,-0.161483,-0.265053,-0.52806,-0.355925,0
2.030254,-2.365804,1.952686,5.180228,-1.737059,-2.709041,3.222912,0
3.838045,1.182198,0.569188,-0.816874,-1.936756,-0.207881,0.643539,1
-0.248277,-1.303323,1.03244,-1.034472,2.08296,0.975657,-0.42694,0
1.554916,-0.30937,2.281294,-2.600834,-0.428455,1.988822,-1.782908,1
