@relation art-02-weka.filters.unsupervised.attribute.NumericToNominal-R19

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2,3,4}

@data
6.984144,1.311896,2.323017,-3.551481,6.769972,-0.070114,3.309817,-5.117726,-2.403699,-4.319947,-1.160926,0.315865,-4.343322,0.678479,-5.241213,0.268448,3.264488,2.543512,2
-1.294101,-1.959822,-0.676275,-5.689635,-0.953468,1.848052,-0.534721,-0.574379,4.620285,-4.210163,0.695638,2.575877,-4.853917,-0.322743,0.298384,5.979142,-4.116983,-7.249841,3
1.000689,3.4172,-0.091354,-2.308317,-0.815527,2.636232,-2.342077,2.250232,-3.120599,-5.526501,1.875447,2.020702,-7.776003,-0.795418,-0.682086,0.087441,-4.041439,-1.772102,0
-0.350911,0.051497,-1.307904,-5.674807,3.205884,-4.513537,0.417178,-4.638887,2.213235,-3.391868,-0.181933,-3.94618,3.408811,-2.425277,-3.398069,-1.970045,-2.052075,2.414623,1
-1.002758,-2.082669,2.777451,0.462129,-4.308105,-0.563829,1.690921,-0.133403,2.446488,-0.255905,-4.2552,-2.380534,-0.832873,2.270264,0.713285,-1.237299,0.252959,-3.486037,4
0.698426,-4.036534,5.615508,1.91553,-0.222657,-2.197578,1.959585,3.645385,2.475887,0.859136,2.388976,-1.852029,-0.72774,2.693335,-4.079161,-4.000087,0.265482,0.352335,1
-0.613292,0.347762,-0.642272,0.821984,-0.496923,-5.326938,-1.403338,0.693602,-2.478309,-1.49704,3.519912,3.357143,-1.940128,1.084432,-1.37224,0.298461,-2.473827,-2.962081,0
-1.160216,0.555884,-0.828609,-2.538715,0.161763,1.653772,3.196426,-0.460164,4.786163,1.328895,-0.752851,-3.096078,1.321794,-1.504159,-1.301688,-2.019558,-2.309418,0.527738,4
-3.23255,-0.791346,-2.844998,-3.396769,-4.062843,1.589846,-3.073975,1.320736,-0.021219,6.938309,-2.201724,4.196669,-0.093941,-1.564136,-0.330121,-0.517036,0.046143,0.49666,2
-0.422926,0.923492,-2.831878,2.376146,-3.531821,0.41678,2.551028,-1.869451,-2.199097,0.950057,-2.769594,3.397735,2.159961,-5.034192,3.992868,1.474323,2.679211,4.027854,1
