@relation art03-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2}

@data
4.164945,0.223321,1.106161,2.169706,4.996755,0.913971,1.80854,-0.26299,1.070586,-0.213101,2
2.357314,1.061829,1.150939,3.395578,0.424223,2.429342,2.255494,-4.256716,-3.244476,1.337103,2
-0.486114,-2.545385,-2.519298,-5.351368,-0.008098,0.892793,-3.661072,3.591542,0.065404,-7.363105,1
-2.599441,2.771767,4.433424,-1.712056,-2.108197,-0.872832,-1.136792,-1.291729,1.194393,-2.463317,2
-0.8365,-1.476087,-2.570283,1.319147,0.391575,3.124718,-1.587043,-1.890424,-1.158926,1.098982,2
-3.420423,-1.09282,-2.754433,-4.787857,-0.894977,-3.45864,-1.378675,2.891386,0.257804,-4.450608,1
5.00513,-0.018052,-2.103156,4.125328,0.420487,3.323153,-2.749458,-3.649307,2.655971,0.004079,2
-0.653696,-3.503562,0.865984,-2.312594,3.135572,-0.10802,-1.841903,-1.149161,-0.115887,-0.902427,1
-3.652859,0.315499,0.682428,-0.693338,1.724374,-3.259863,1.886642,-0.641728,2.31562,1.785209,1
-2.666094,2.408621,5.121161,-0.198155,0.847112,-1.183292,-2.713839,0.417678,-1.21948,-1.128788,2
-1.740549,-2.349401,-1.926846,-2.257115,-2.827984,-0.179318,-1.84152,3.172415,-0.531412,2.599926,0
2.367887,-2.186011,1.569547,0.006446,-1.090824,2.725253,-0.382496,-0.756993,-1.259976,-1.944144,2
-2.464846,4.715209,-2.007486,-3.460763,1.563141,-0.300424,1.20843,0.435053,3.179114,-3.485193,0
-6.491755,0.733574,3.410035,1.627331,3.700187,-1.758701,4.526955,-4.320458,-0.193597,3.365507,1
1.080333,-0.603243,1.492869,1.368912,2.059427,1.667298,-2.098789,0.443963,-0.565613,-0.982241,2
1.455727,1.063482,-2.934899,0.036034,1.21856,1.688673,2.358784,-4.788863,-3.372188,1.397215,2
1.694626,-3.493391,-1.854036,-0.178355,4.272123,-1.284169,-0.450826,-0.699991,2.95879,1.47678,1
-1.875915,-4.539631,-1.871356,-2.109234,2.603041,-1.771066,-0.192798,1.47784,1.859716,-0.214573,1
-0.458815,1.094288,-1.075646,-3.597305,2.080444,2.249666,-0.97068,0.189512,2.137505,-1.993517,0
0.439875,-2.840632,-1.369486,1.237103,-3.100488,0.368929,0.14021,1.929703,-0.764062,2.703542,0
0.19902,-4.182802,-0.541194,-3.968199,1.731715,-2.285136,-1.908746,-0.271801,0.757438,-2.984231,1
0.280304,-1.279965,-0.738747,0.176693,1.115253,1.471032,-0.478396,0.517286,-6.169154,1.138919,2
3.103309,0.527478,2.58442,0.27217,1.068639,1.917614,0.938941,-1.903614,2.806045,-0.646218,2
-3.564629,-0.15379,-0.066679,-2.976153,1.71839,2.280836,0.040361,1.804576,2.376046,-1.651812,0
3.053504,-3.516974,-6.704402,-1.384515,-0.269021,2.668832,-2.993798,4.93381,-3.331004,2.100108,0
-2.682863,4.29329,9.062636,-0.676812,1.475799,-1.266945,-2.527399,3.893105,0.794972,-5.293646,2
2.902689,-3.342855,-2.23326,-2.492597,0.349004,0.001844,-2.551366,1.159237,-0.451884,-7.439427,1
-0.174802,0.874805,1.028038,-0.00422,2.170683,0.690846,-2.234208,0.327102,-2.951911,-0.84932,2
0.35796,1.670603,-1.558937,2.418243,3.66591,0.287632,-3.033496,-2.54226,-0.780227,1.939193,2
-1.772388,-1.771661,2.956536,1.799663,-5.260152,0.754914,1.214962,-2.698059,1.733905,1.304694,0
-1.991872,-0.506666,0.968158,-2.089345,1.292006,-2.17784,-0.734729,0.667196,2.067513,0.075927,1
-0.764689,1.340142,3.04001,-2.358615,-1.400791,-0.344703,0.158892,2.919184,-3.449607,-4.011445,2
-4.450545,-1.358254,-0.789771,1.795044,-0.57938,0.114457,-2.024389,1.648674,1.749138,2.532564,0
-3.921475,-2.250323,1.309052,1.716245,-1.495227,0.805272,-2.503731,0.112474,2.598632,3.698462,0
3.039841,-2.05308,1.014888,2.266646,1.081285,3.58586,0.269292,0.297996,-1.859329,-0.407169,2
-2.444845,-1.177495,0.796146,-0.983003,1.199065,1.512951,-0.008127,0.220154,2.838891,-0.425585,0
-1.199432,1.955126,0.186006,0.349864,2.602924,0.196852,-1.167975,-1.663548,-1.219525,0.493284,2
-0.575879,-2.242218,-0.150037,0.157091,1.706616,3.372751,-1.967709,-0.430348,-0.004437,-0.355832,1
0.003813,-2.004038,-0.859783,-2.913911,0.582829,-3.014945,-1.453382,0.396698,-0.016418,-3.320687,1
-0.8825,1.543023,0.170328,1.172399,1.040472,-0.24168,-2.649473,1.799308,-4.956405,-1.90937,2
1.14646,0.368294,-1.951702,-2.915871,-1.044197,3.089756,-0.048504,0.309333,0.443135,-1.464738,0
-0.023328,0.563635,0.862679,-2.513277,-3.033798,4.602849,-4.191349,5.4869,3.154995,-3.937581,1
-3.159801,-1.426818,-3.364227,-0.563857,-0.255907,0.088327,0.342538,1.620199,1.162093,0.031221,1
3.038674,3.0516,-0.517156,-0.128833,1.03979,-1.615043,-1.075361,-2.053619,2.35677,-3.241069,2
-2.537414,2.137795,-1.745028,-0.128057,-2.288491,1.807743,-1.500892,3.26104,2.335529,-0.222427,1
1.806208,-6.78475,-3.176232,1.285413,-2.135461,3.591237,-1.621265,4.274119,-2.925598,3.824065,0
1.614727,0.953361,-3.098399,-2.630136,-1.479871,1.014314,0.587807,2.01084,-0.220733,-0.559946,0
-3.325563,-2.082704,-3.411921,-2.381906,1.81456,-4.300273,0.864271,0.309309,0.375787,-1.800585,1
2.056456,1.12901,0.121196,-0.656711,1.12002,3.246762,-6.192818,4.898846,1.943317,-1.945701,1
-1.025558,-1.746568,-1.985209,-2.878831,0.456544,-2.836326,-1.773281,0.698992,1.430826,-0.858655,1
-0.14731,1.047006,-3.060517,-1.552194,0.706015,-1.07566,-3.30907,1.768642,-0.258382,-2.864679,1
1.708354,-3.298087,-2.15389,1.41792,-0.769983,1.044828,0.353385,-0.03874,-0.335192,-0.116666,0
-0.026935,0.897941,-2.018835,-1.931712,-0.973248,-1.936791,-0.400006,0.941009,0.692074,0.081187,0
-1.871322,-3.755224,1.829751,0.888165,-1.783621,3.666149,-4.137141,0.630044,-0.74618,0.01568,2
