@relation art-01-weka.filters.unsupervised.attribute.NumericToNominal-R23

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att2 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2}

@data
-0.255391,1.372962,-3.292591,0.551598,-1.107261,-2.24983,2.283181,-0.585044,1.273703,4.07425,-2.38758,1.188574,0.34237,-2.292907,1.745976,0.38429,1.5902,1.590821,1.875517,-3.478632,5.612592,1.831868,0
2.166824,-0.090281,1.397546,-2.525493,0.420243,-4.025556,1.636444,-1.907551,-1.870221,2.188603,-1.150358,-0.650143,-1.71771,-1.862698,-2.103706,1.166122,-0.323907,0.23052,0.849558,0.268217,-2.62352,1.974606,1
-1.906499,-3.275325,2.869603,-3.775495,-4.188362,1.807207,1.662452,-2.169604,-3.424247,1.642572,0.168183,-2.897688,-0.91355,0.058038,-0.481989,0.113487,-0.248314,4.338224,4.485924,-3.72413,1.309893,2.656299,1
-1.113372,1.098885,1.699809,2.576648,-0.645702,1.871157,-2.621061,-1.781732,-1.220982,-0.456734,0.710558,-2.721119,-2.684101,3.297414,0.701663,5.808504,1.280814,-1.104477,1.369883,2.540946,3.152854,3.704747,2
-3.998967,2.988878,1.447439,-0.38898,0.692171,0.094858,-0.366375,-1.478315,-0.932656,-2.195546,1.76271,-4.036766,3.243148,-2.054403,2.203378,-3.840766,2.324125,1.165439,-2.955958,-2.124972,-1.312552,1.370688,1
1.692238,2.014544,4.235608,1.079297,-5.629317,-3.401788,0.770256,3.3187,-0.717114,-3.91585,0.332889,-3.284496,-1.191661,3.799377,-0.321333,-0.122197,1.500426,-3.526043,0.685366,0.237969,-3.741082,4.637011,0
3.516042,3.497602,0.533526,-2.33521,-3.362367,-1.668807,0.809862,-0.096179,0.349236,-2.106711,1.102177,1.513731,-0.721216,-0.633167,-0.385273,-1.712279,0.570872,1.969431,-1.697378,0.88242,-2.147774,-0.762492,1
-1.068864,3.117254,-0.453809,2.726622,-6.36036,-2.040334,0.705467,-0.011549,-0.785226,-3.129884,0.723251,-1.976501,1.356521,-2.514997,1.213029,-3.916671,2.753288,1.19148,-0.506041,-1.28107,-1.025381,-0.049368,1
0.923015,2.586815,2.538308,-3.883057,1.287374,1.396516,3.718881,-1.797726,-1.538496,-0.990511,0.695808,0.324006,0.098792,1.143907,-0.085222,0.04913,-2.042365,-0.144518,-0.160987,1.623869,-0.073916,0.499225,1
0.984725,0.999694,3.482783,-0.964943,-2.605181,1.02387,-3.07373,-1.810083,2.2063,-1.935722,2.968935,5.78282,-0.633925,-2.123454,-1.258931,-0.585794,0.785978,-0.113135,0.034676,0.617522,0.312607,1.746906,2
1.413563,1.034714,-3.028219,2.987554,-0.972296,-0.214691,-2.188482,2.518386,-1.193575,0.154495,-3.755998,1.188105,2.717133,2.900714,0.259967,-1.624261,-0.485527,0.920883,-0.035021,-0.229699,-5.606114,0.170483,0
-0.432645,-0.549594,-5.350692,3.470759,0.440476,0.918789,-4.457821,0.841358,0.496841,4.540214,0.025064,-1.846999,-0.187235,-3.668382,2.722139,-2.69847,-2.363228,1.412215,0.021293,1.272809,0.270275,-0.99352,0
-4.467577,3.015771,4.730063,0.470325,1.992504,-2.247444,4.106739,1.130804,2.916825,3.037233,-1.330623,1.504794,1.050253,7.33305,-3.665878,-1.012593,-0.129834,2.842855,1.507676,-4.573046,-4.360416,-0.43962,1
0.366419,0.69026,2.090931,-3.865118,1.594853,1.117178,-2.834049,0.801155,2.371234,-1.852284,-4.748796,3.407643,-2.2591,-1.792764,0.232539,-3.174133,3.71227,3.15958,-0.937033,-1.825253,-7.258371,-1.653613,0
0.082282,3.197535,5.430263,-0.470495,-0.612606,0.648048,-0.478725,-4.306153,0.414384,1.072705,2.022643,-1.829021,-5.328629,0.436635,3.630155,1.198399,2.328118,-2.090766,-4.228869,1.131158,0.737485,1.919955,2
0.336154,3.488589,0.432244,1.972119,-1.517569,-2.872751,0.026767,-3.915555,2.210199,-2.29907,5.847809,-2.677467,1.280985,-0.833312,1.949446,4.193856,-0.614769,0.772248,-2.115166,1.090496,0.289757,3.489937,2
-7.19278,3.419661,0.715458,1.735296,-2.75709,-5.021398,-2.355823,3.870916,-0.157711,2.224122,5.52233,-1.192108,-3.227395,-3.594902,-4.737212,1.668495,-0.013114,-3.652951,8.961424,0.818414,0.160598,-0.695443,0
-3.747704,-5.527707,6.358714,3.692413,-3.374843,1.66861,-1.551076,0.079921,5.656505,-0.555188,1.879074,-4.608714,-4.044335,-2.486429,3.244937,0.375876,-2.530883,-4.022703,0.294886,4.741188,4.384655,2.240159,2
-1.700385,3.717096,-0.284283,2.661196,-0.747373,-4.254592,0.899252,1.556659,2.400652,3.307248,-2.105986,7.217824,-0.466949,-4.564791,-1.867454,-0.073386,0.702716,-0.210614,5.057085,1.584102,5.404342,-0.172055,0
1.858992,-0.236219,-0.684161,1.409675,-3.280547,-4.3699,3.876071,1.366604,-2.936591,1.866641,1.208827,-1.648245,-0.504467,3.687956,3.647456,-3.580506,2.930084,2.760377,1.660946,-1.730506,1.192691,5.880586,1
-0.91705,7.621886,2.489026,0.773984,-2.85758,-1.731609,-2.282389,-1.750275,5.647522,-2.254881,2.795505,-4.115676,-3.06411,-2.427433,1.683908,-1.800017,2.524765,-3.761077,-4.227739,1.542771,-0.675332,4.262849,2
-0.493905,-0.419947,4.155459,2.207961,-2.796518,-4.224652,-1.759942,1.402096,1.67391,-0.240163,-0.093031,6.288643,-4.469116,-0.400401,-2.809643,0.447325,0.593767,-3.502004,-2.972713,0.170657,-1.961426,-2.043877,0
-2.585905,1.623764,4.499368,-0.944955,-1.176373,-2.078721,-1.162686,0.853068,-3.104636,3.741114,4.142397,-6.306496,-4.197569,-3.144663,0.715252,-3.803427,4.60223,-1.40352,2.543159,-5.873355,0.879278,1.543431,1
0.707179,4.207463,-0.324423,1.763166,-0.243269,0.20598,-0.193292,-1.643704,2.132016,-2.069194,1.624766,-3.942655,-0.569372,-0.969609,-0.134794,1.662117,0.435562,-2.103002,-1.185569,1.835144,-1.089778,2.932856,2
-0.364435,1.263513,-0.245088,-2.180039,-1.163611,-0.763695,0.981457,-0.52513,1.379742,0.621865,2.966948,-2.22177,-2.222411,-2.134694,3.246848,-3.231354,2.508131,-1.190847,-3.506737,-3.905526,-1.167271,-0.382212,1
0.761681,0.4079,1.300184,1.506057,-0.7555,-0.603871,0.489193,-0.58449,1.956121,2.972857,-0.494989,4.620016,1.350185,-2.48185,-1.496334,-3.376421,-0.889722,-0.589807,1.150138,-2.531731,2.27716,1.482638,0
1.962845,1.12758,0.79087,-3.162138,-0.14544,0.888265,5.496969,-2.303773,-1.860842,-2.249829,-1.010749,-3.175646,2.037735,1.881448,6.552554,-0.574251,3.998263,4.128374,1.646231,0.067198,-0.579172,1.225835,1
-0.474691,3.400799,0.677334,1.32461,-2.247659,-1.876753,-2.746093,-1.399139,4.978141,-0.406177,1.24669,3.927884,-2.383888,2.578181,-1.065217,0.60916,-0.16685,-1.523124,-0.670085,1.510427,-1.31337,3.815196,2
-2.642689,2.703431,2.837656,-0.235475,-0.508823,-0.507763,-2.317977,0.578911,1.184776,0.392264,3.248265,3.304757,1.564302,3.199746,0.508558,-0.820719,-0.604336,2.643319,-1.644901,-6.455909,-0.48135,0.851484,1
-5.801192,0.199044,-0.438049,0.819058,-0.09643,3.699007,-5.451385,1.961936,3.623697,-5.499022,-1.365841,-7.58645,0.206185,-2.221167,4.475185,0.427676,4.745859,-3.23415,-2.882382,-3.501935,2.971687,1.042871,2
