@relation art10-weka.filters.unsupervised.attribute.NumericToNominal-R9

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {0,1}

@data
-0.303098,-2.22037,2.548684,-0.798394,2.854469,-0.465649,-1.482397,-0.368234,1
0.189497,-1.990601,2.517314,-0.159947,1.542117,0.567818,-1.378708,-0.5375,1
1.241242,-0.760916,1.159733,0.29322,-0.819121,1.697367,-1.786619,1.699292,0
-2.93831,-0.248978,-0.288092,0.642429,1.744948,-2.136395,0.089237,2.340082,0
-1.946634,-3.233588,2.59355,0.059633,1.310312,-5.237086,0.957194,3.84593,1
2.410816,0.580535,-2.885378,1.510613,-1.152747,-0.971733,-1.186541,1.052897,0
1.632344,-2.247973,-0.727188,1.863509,-2.943521,-3.473588,-2.416375,0.926617,0
2.385693,-2.525915,-3.096416,2.4882,1.188899,-0.932362,1.2653,0.808254,0
1.722172,-1.833589,1.470581,2.142821,3.219453,-3.264059,2.054902,2.252544,1
3.129583,-0.133726,-1.461185,-1.549048,-0.415131,-1.850411,-1.146033,1.001747,0
1.554653,-1.04152,-2.708962,0.47173,0.696219,-1.183647,0.570849,0.79207,0
2.371176,-2.558204,0.840487,1.58832,1.472076,-1.557892,-0.060015,2.815247,1
0.42971,-2.720256,3.573635,-0.735634,2.723598,-1.534224,-2.968333,-0.380721,1
-0.959519,-0.713505,-0.218091,2.006049,-1.704533,1.056637,-3.57152,1.364004,1
1.434829,-1.692907,-0.093564,0.419504,-0.727981,-4.069968,-0.13125,0.535056,0
0.745171,-1.768486,-1.182018,1.001714,-0.117831,-0.133002,0.365908,-0.19655,0
-1.644682,0.046445,-3.736924,-0.361545,-2.332576,-2.358696,0.459555,-3.82062,0
0.907154,-0.898907,0.706485,2.509377,0.394616,-1.650354,-0.612363,1.371979,1
-2.428917,-1.342453,0.767473,-2.115008,3.560302,1.389355,0.249625,-0.481838,1
1.456884,-0.590803,-2.299478,0.622348,0.273994,1.124192,-0.564497,1.502104,0
0.657023,-1.636081,0.760707,1.95661,0.83079,-1.844241,-0.093336,3.170123,1
1.411431,-2.33801,-2.368814,2.689171,0.123082,-1.305167,0.646719,0.549277,0
1.068843,-0.676624,-4.68023,2.036219,0.71235,-2.735875,2.548653,-1.611295,0
-1.154955,0.14422,1.248945,2.021689,0.452019,-0.816099,-0.7015,-0.395801,1
1.824,-3.502571,-1.07513,1.784082,-0.012228,-2.783383,-0.423467,2.211717,0
-3.94152,-0.024667,1.13289,-0.330928,1.977086,-0.681333,1.05472,-0.364222,1
5.119296,0.249271,-2.375523,-0.768518,1.76411,-3.358488,0.648478,2.182483,0
-0.154487,0.246398,-0.620636,3.218872,0.703619,-1.280235,1.469926,1.350616,1
2.18461,-1.985588,0.12207,1.434456,-2.030432,-1.25526,-2.449218,1.635423,0
-0.650919,-0.949253,0.96728,0.777525,-0.081739,-0.398226,-2.217036,0.903391,1
-3.185469,-0.483526,1.035984,0.379994,0.649521,-0.947388,-1.665136,0.477068,1
1.19564,-1.543917,-0.902871,-0.5171,-1.098279,-4.213595,-0.647685,0.44462,0
0.995002,-1.970913,-1.265734,2.404392,-1.171047,-1.325899,-0.295803,-0.02867,0
1.263593,0.212783,0.101736,-0.762538,-2.565929,-0.813775,-3.296358,1.661275,0
2.184921,-2.16517,-3.019209,2.416722,1.055833,-3.989206,1.372078,1.567132,0
0.096768,-2.804613,3.188338,-2.082699,5.189869,-0.025389,1.827785,-1.787833,1
-0.768854,-2.121356,4.016465,-0.720351,4.307535,-1.399858,1.80853,-1.74681,1
-0.07804,0.105991,-5.261507,-0.293275,-1.401094,-3.167839,0.652215,-2.650598,0
-1.541998,-0.379437,0.297447,2.840262,-1.166512,-2.388146,-2.3029,2.944453,1
0.402569,-0.421133,-0.93768,2.831285,0.503669,0.136025,0.185073,1.602167,1
0.033304,-3.870731,2.200285,0.34515,-0.583442,-1.958552,-0.199692,0.398866,0
-0.695311,-1.041984,0.605157,1.950414,-0.048239,-3.045286,-1.43699,2.788142,1
0.337923,2.046814,-1.825761,-0.579335,0.032257,0.483177,-0.384725,1.042014,0
-1.560662,-0.102763,0.221487,1.375349,0.246276,-0.726188,-1.220488,1.011741,1
-5.547665,0.000354,1.128585,-1.458032,1.793857,0.420335,-0.484848,-1.240344,1
-0.573615,-2.856436,-1.345414,0.886396,-1.265147,-0.547783,-0.648119,-0.22962,0
2.464533,-1.446052,0.071924,3.793906,-0.240405,0.28683,-1.183394,3.313319,0
0.9504,-0.325448,-1.551877,0.930986,-2.489765,-2.79779,-1.953642,0.603647,0
-1.23883,-0.15882,2.144589,1.124159,1.440186,-0.800603,-0.31125,-1.91718,1
-0.63333,1.2291,-1.710139,2.084413,-3.086012,-3.403628,-1.8539,0.630133,0
-0.27476,-4.310231,-0.770595,2.557521,-1.265201,-0.727324,-0.051011,-0.748557,0
-4.010922,0.254331,0.646473,0.707026,0.084936,0.121772,-2.536345,0.12227,1
1.73984,-2.668222,-2.228617,1.251076,1.458425,-2.430236,1.489421,1.118448,0
-3.775748,-1.157201,0.662256,-1.186007,1.330838,-1.497404,-0.800234,2.24504,1
1.017818,-0.516032,-3.347223,2.69071,-0.363511,-2.06603,0.897924,-0.304562,0
-0.216935,-1.988646,0.160436,1.039432,-1.4625,0.157933,-1.641002,1.185375,0
-0.287974,0.254797,0.887179,-1.710434,-0.177151,0.447294,-0.938378,1.300693,0
1.962403,-3.518089,2.459517,0.711328,1.038765,-3.442303,-2.78913,3.667117,1
