@relation art11-weka.filters.unsupervised.attribute.NumericToNominal-R10

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1}

@data
-0.702891,0.715231,-0.841049,1.924196,-1.182046,-0.014157,2.712728,-0.285247,-1.231484,0
-0.939903,2.93352,1.786666,1.453281,4.015339,0.368537,-1.18193,-0.568062,1.645804,1
-1.737224,0.965097,2.359954,0.984681,-0.715067,0.854512,-2.787246,-1.511733,0.52142,1
0.26144,1.57159,-0.42491,4.465096,-2.48085,1.036514,3.28271,0.233458,-1.704875,0
1.112677,1.875875,-0.417981,-0.055001,5.282281,0.46804,0.179354,0.627498,-1.518425,1
-0.170173,-1.584006,2.036879,0.889097,0.432346,1.515249,1.22768,-2.399882,0.554556,0
-1.453901,0.92854,-0.159708,0.870999,-2.592332,-2.642406,-3.850712,-0.275005,3.765974,1
0.617351,-0.386525,3.111354,0.503748,0.888653,-1.263259,-4.141424,-0.285135,0.480401,1
-1.957378,-1.927911,2.930496,0.628643,2.562977,2.391204,0.567269,-2.004685,0.714779,0
-2.412705,0.267082,0.270458,0.315154,0.957496,1.563315,1.175285,1.128255,-0.18613,1
2.009197,1.826127,-1.42089,0.143703,3.362105,-1.087126,-1.001817,-0.29406,-1.111747,1
-2.219106,-1.904619,1.05721,1.210596,-0.382833,0.962391,2.18448,-3.195957,-1.147185,0
-2.626694,-2.558126,1.172712,1.919027,-2.20443,-2.883358,0.058285,4.711571,2.821171,1
-2.251731,1.277661,2.243333,3.021424,0.001053,-1.009653,0.206083,2.282687,1.171989,1
-2.600271,0.24409,-1.355867,2.450225,-1.694121,0.23071,3.703334,0.444532,-0.531488,0
-0.846796,-0.841404,-1.501849,-1.030456,0.992179,-0.972759,-1.975905,-0.415243,-4.769474,0
-0.774111,-0.902993,3.235602,4.060922,-0.160095,3.011162,2.145863,-1.021517,1.125316,0
-2.537214,-2.19788,1.773961,-1.182389,2.490164,0.326932,0.29592,0.152117,0.214745,0
-0.768618,-0.262383,1.267895,2.485389,1.318512,-3.612668,0.932795,4.772912,1.691612,1
-1.383095,-3.268762,2.470647,-1.355202,2.250794,1.209512,0.818966,-3.774492,-2.455681,0
-2.661364,-1.206299,2.344576,0.775042,-3.902193,-2.255445,-2.601067,1.353664,2.380479,1
-1.437266,2.649419,2.270706,0.36643,0.488323,-0.448434,-2.844169,-0.028734,0.270908,1
-0.693169,0.115602,-0.118237,2.276486,-2.177552,0.218206,3.285192,-0.288508,-1.882574,0
-1.368395,0.428903,0.791368,1.927335,-0.448743,0.439486,1.375317,0.98432,-1.986027,0
-0.252114,1.782881,-0.75476,0.072455,4.291258,1.288508,0.477876,0.256329,-0.64839,1
-2.442973,3.150816,2.03044,2.13082,-1.408577,-3.442908,-2.320207,1.549432,3.391457,1
-1.550427,-1.514629,2.955464,0.404269,-3.204048,-1.761796,-3.736603,0.391068,1.581298,1
-5.119064,-4.782711,1.318623,-1.83887,-0.466094,-1.157131,4.342203,-2.458403,-2.347961,0
0.649743,3.767022,-1.764559,0.374123,2.229189,-3.196067,-2.945882,0.126685,2.786119,1
0.383847,-1.616248,1.825101,0.565633,2.292154,1.239057,-0.326194,-1.716721,-1.302542,0
-2.553466,-3.17215,4.88366,1.687797,1.384982,2.356931,-1.055878,-0.757939,0.419273,0
-4.690529,-2.229708,2.490301,0.163257,-2.822299,-0.050623,5.872496,-0.325802,-1.615277,0
-3.245901,-3.812316,2.669603,-2.946914,2.883135,0.638364,4.328418,-3.192164,0.286792,0
-1.414806,2.346284,-0.454367,1.110631,0.715562,-3.650036,1.15499,3.941344,1.348108,1
0.671638,0.097579,1.237744,1.037984,3.754917,-1.616501,-0.182116,1.674853,0.388174,1
-0.125829,-1.668534,-0.61438,-0.974878,3.663711,-0.633029,-1.240533,0.036804,0.369127,0
-0.777741,0.166361,0.059721,-1.000342,2.778362,0.753956,-0.025933,0.360485,-0.104686,1
-2.004535,1.378536,-0.653131,0.233381,-1.40615,-0.070866,-0.635312,0.803477,0.111209,1
-3.465175,0.859619,-0.684399,1.236958,-2.198718,-1.480192,-1.009715,1.445795,4.47049,1
1.166519,2.161302,0.130139,-0.332987,2.754411,1.364272,-2.793753,-2.093107,-1.690186,1
-2.869334,-2.813745,2.691518,-0.195477,-0.42169,1.182031,3.540141,-3.55012,-2.232046,0
-1.010856,1.05182,-0.068183,0.850024,1.929043,-1.021522,0.095782,2.064992,1.030058,1
-2.250758,-5.237746,3.576951,-2.968256,5.032949,1.24156,-0.512132,-3.570919,-0.15035,0
-1.866285,-1.515381,0.880264,2.875358,-1.325978,1.110235,2.397449,-1.053346,-0.046311,0
-1.315588,1.773651,0.394073,0.949077,1.353341,-0.730723,-0.840176,0.437134,1.29269,1
-4.611427,-1.780669,-1.256923,-0.092879,-4.01956,-2.233022,6.961344,-1.680827,-4.933237,0
-0.520154,-1.502763,1.509514,-0.100698,3.640378,1.326503,-2.136217,-0.080429,0.211685,0
-0.699935,0.662777,0.712355,2.982923,2.142035,-0.956757,1.534115,2.701277,0.358262,1
