@relation art-12-weka.filters.unsupervised.attribute.NumericToNominal-R12

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
-3.600351,3.34304,-3.344065,-2.160812,4.335007,2.584088,0.515768,-7.202419,-2.019027,3.765833,-2.589044,0
-0.451111,2.885973,-0.255348,-2.18372,1.922964,-2.505107,1.95859,2.071619,-2.599744,-3.558939,3.791694,0
-1.804018,-0.134564,1.531353,-0.982175,4.510986,2.286535,1.950537,-0.213594,-0.735305,1.208029,1.860803,5
-2.234782,-1.077313,-3.557262,-2.601859,-0.845071,-1.337902,2.531477,-3.914664,-1.262572,-0.662164,5.223859,8
4.293002,-2.226134,-0.077159,-0.139089,0.377646,-0.48398,-1.435886,-0.512622,-5.81294,1.12103,0.652814,8
-2.527692,1.355381,-3.165225,2.066584,5.581136,-1.129747,-1.501586,-2.865224,-2.407394,-2.370903,3.930908,8
-2.858522,1.295854,2.736511,-2.572844,0.786385,-3.034173,0.08185,2.43448,-0.068987,-1.832513,0.534364,9
0.77749,2.284373,-0.128112,-3.04194,2.068441,-0.120155,1.467334,-1.009048,0.793959,-2.752893,-0.126281,2
3.146976,-0.844711,2.497324,-4.249977,4.174934,-3.094994,1.859513,-0.880927,0.940966,-0.881012,4.025953,3
1.906974,1.339798,-2.411923,0.600301,-0.960418,0.385209,-0.805344,0.881181,-1.843823,1.29618,1.650978,6
-1.715402,0.885973,-2.298906,-0.451667,-2.594182,-0.46804,3.045037,1.554758,-2.215151,-0.700413,0.429412,1
2.955505,-0.775382,3.05363,-1.906127,3.176842,-3.311329,3.73722,-0.355274,-1.739611,-1.296024,0.668915,3
-2.677965,0.600263,0.461298,-2.194063,1.277543,-3.563846,0.257465,1.518207,7.40223,-1.226294,-3.175907,9
1.270577,-0.9614,-2.687638,-3.614446,1.631693,-2.559246,3.681918,1.974079,-2.215884,0.859156,-2.37286,7
-2.123549,0.933036,-0.42088,-0.169849,-0.885764,-1.168848,3.474237,1.048148,-1.053727,-1.226605,0.186604,1
0.824329,2.246612,2.72128,0.467034,1.97559,0.357945,1.481469,0.881519,-0.197413,-3.877321,3.183552,0
1.3726,-0.460964,-2.984037,-1.51618,0.72048,-1.26993,3.141269,0.765107,-1.228191,-2.561741,-2.41108,7
1.826685,3.322776,1.714413,-2.895895,-0.734418,-2.128344,-0.29117,0.33077,-1.236265,0.495989,4.827984,2
2.266066,-1.738442,-0.836508,-0.03866,-1.949419,-2.272433,-1.530146,-1.460286,1.338556,-1.15156,-2.481904,3
-1.817365,-1.713159,-0.092913,0.597444,-1.061782,-2.985259,1.087828,0.489109,-5.127444,1.799859,-1.973942,1
-0.990452,-0.43567,2.330505,-0.640528,0.282521,-2.59087,1.363743,0.8116,3.94506,1.285723,0.640868,9
0.111933,-1.586729,3.858402,2.901485,4.61995,-1.153226,-1.419212,1.014117,-2.101717,-1.997227,-2.184235,1
1.387186,-2.700242,0.011109,-0.516352,0.546807,-1.901257,-0.594773,1.054264,2.079505,-0.196313,-0.954961,7
0.379175,-0.321188,-0.036581,2.529607,2.516335,-1.897242,2.613203,0.437137,-3.239639,-1.471981,0.297627,1
0.517869,-0.968301,-1.297901,-0.1945,3.068822,2.366599,0.839836,-0.53189,-2.151086,-0.596225,-0.62393,2
3.303331,-2.935117,6.584459,1.639875,-1.374325,-1.767642,-0.822149,-0.070266,-1.125547,0.505442,-2.695781,4
-3.212677,1.341939,-1.576766,0.358349,-0.298441,-0.747419,-2.135029,2.095768,-0.518486,-1.852115,2.056856,4
-0.52344,-2.125426,-1.019998,-4.031797,1.756605,-2.222517,3.390507,1.652133,0.942434,-1.621342,-0.909659,7
-2.287638,0.017138,-0.721342,-1.072676,0.074037,-2.007311,2.048752,4.103608,-2.157707,-3.154517,-1.920778,5
-1.749395,0.962593,1.62126,2.496615,-0.567476,-0.308291,-0.054029,-0.199767,2.743347,1.515071,-0.110989,4
0.99368,1.928034,-0.146561,-1.37786,1.096602,1.010685,0.250141,-0.137883,-0.56721,-0.68043,0.946354,9
0.496398,-0.2316,-2.224934,-0.186881,1.475855,0.789939,2.357938,-0.216293,-0.864505,-1.052554,-1.817109,7
0.054583,-1.296414,0.665823,-0.101855,1.474501,-3.15923,-1.971551,-0.599729,0.27995,-1.757691,1.250132,3
1.933205,-3.01736,-2.940476,2.660283,-1.025908,1.019958,1.440782,-6.745369,-0.953903,0.458184,2.567227,8
0.891682,-2.915255,1.237745,0.149173,-0.148398,1.508645,-0.303568,1.360746,-0.008011,0.304349,0.581462,7
2.465468,1.119293,-2.249339,-1.172917,1.133199,-3.95243,1.087196,3.300723,0.000845,1.011259,-3.568285,7
0.657039,0.846339,-4.077199,3.489581,1.238736,-3.097316,-1.380298,-1.302181,-0.522607,1.868135,3.462196,6
1.144617,3.915758,-0.876002,-0.570894,-0.166996,-1.666145,1.256962,0.165496,0.823378,0.477956,0.882245,0
-0.202588,-1.732877,1.911857,-1.246276,-1.076556,1.462724,0.807739,2.245581,0.750363,-0.653171,-3.497956,1
-1.945889,1.367917,-1.415363,-3.181561,1.010752,-1.793767,-2.414162,-0.469265,-0.466417,-0.265856,0.366434,0
-6.424575,0.338988,4.84424,-0.925961,-1.339765,-1.027469,-1.311651,2.089214,4.188107,-0.902315,1.622698,9
-0.817378,-1.104503,1.931335,4.375418,0.939421,-2.661107,3.578532,1.771045,-3.776728,-1.545567,-1.952127,1
5.193741,-4.765534,0.765041,-0.349052,1.421772,-3.07446,1.481421,-0.149855,4.738606,-0.74019,-1.77844,7
2.665577,-1.13548,1.008846,-1.036284,0.755258,1.750757,0.661613,2.752667,-4.145037,-0.365939,0.130995,2
-2.080881,-0.822639,0.323075,-0.246364,-3.67012,0.543045,2.036279,-1.028696,4.5173,3.627836,-2.620855,4
2.334161,-1.895339,0.596607,0.776576,0.559472,-2.798881,-0.800031,2.118483,1.378197,-1.365141,-1.808982,3
2.415171,-0.759629,-1.628464,0.929157,-0.706695,-2.662379,-2.72409,0.440267,-1.325333,1.722338,3.91007,6
-0.573996,-4.827685,1.473824,-0.389719,-1.50714,-0.730199,3.213547,1.912021,3.156629,-0.249646,3.668316,9
2.027795,-0.613106,4.852131,1.006317,-2.441262,0.066404,0.686781,0.01764,-4.365456,0.743495,0.461764,2
1.402664,2.52266,-2.741142,0.07653,1.791667,0.076313,1.632034,-0.010994,-0.746428,-2.372186,2.044837,6
0.365961,0.006716,-3.327287,2.102133,0.36561,-4.099694,1.126271,-0.66829,-0.089458,-2.346032,2.283523,0
1.220842,-0.190396,-2.982478,-2.70935,-2.189013,-0.068939,2.873873,4.870412,0.893088,-0.854742,0.921579,6
3.559699,-2.48828,1.436449,2.026435,0.635417,0.750656,-1.190807,2.207606,2.6571,-0.704859,0.234917,7
0.792045,0.651408,-1.439998,-3.228159,2.202745,-0.311592,0.779769,-0.340851,-3.014416,-1.223709,1.161714,2
3.289585,-2.095239,2.247495,-0.580795,-0.033505,-4.082493,0.074519,-1.346569,2.567997,1.064502,-0.14846,3
0.622157,-3.376913,-0.524254,1.186075,6.360639,0.517387,-1.945014,0.529224,1.772394,0.072059,3.715262,3
0.086626,-0.433052,-2.436879,-1.818172,1.313813,0.021279,-2.377533,1.432785,-0.028802,1.554594,0.793712,4
-0.506834,-2.243188,-2.170172,-2.314024,2.136447,-1.145824,0.082136,2.93211,-1.407216,-3.339762,-0.450543,0
-0.832216,-0.063556,0.983946,-1.100927,3.510244,1.529292,-2.891363,0.024776,0.458773,-1.574878,1.244602,8
-1.517098,1.997137,3.549881,-3.802424,2.895423,4.991522,-1.744227,-0.169543,0.873646,-1.596739,-1.862352,0
-1.347929,-3.839392,2.251646,-2.201452,-0.097113,-0.426806,-1.37982,1.533335,-1.855853,3.268965,-5.783157,1
-3.033208,-0.606311,-1.257847,-2.162661,-0.367809,1.654868,-0.607393,0.424828,-0.182924,-2.943365,-0.949489,7
-1.137263,-0.493953,-1.456526,0.801403,-2.065054,3.048532,-2.183963,-1.987731,3.844449,-2.278149,-2.863551,0
-2.459461,-3.951199,-0.989623,-2.968951,1.433388,0.503949,1.229317,0.984709,-0.858397,1.984282,0.470209,5
1.269289,-0.745682,1.974671,-0.331276,1.454876,1.338044,-2.206911,-0.265418,1.962003,-2.294201,-3.659669,8
5.053204,1.930846,3.584642,-1.393369,1.409274,3.613816,-1.543764,-4.375131,0.40623,-1.233084,3.331804,2
0.516923,-0.492272,-5.475129,0.150879,1.630503,0.296994,0.484888,-2.352277,-3.210375,0.723449,5.436349,8
0.730742,-1.970067,-1.094634,-4.074429,-1.554916,-1.870725,4.510366,-0.980284,-0.553643,1.327288,0.857277,7
0.387252,-2.191053,-2.332231,-2.080914,-2.520395,2.129446,0.522849,-2.966832,-0.051275,0.819801,2.880652,8
1.679517,1.759361,-0.843853,-2.218029,-1.901086,-0.227548,0.105157,2.331129,-1.059924,0.021499,-0.374703,6
-2.929871,2.213231,0.464823,0.960643,2.153844,1.087626,1.086143,4.350342,0.26516,-0.742944,-1.310068,5
3.476674,1.251237,-1.437893,-0.645814,-0.949624,-0.246862,-0.580145,1.454938,-2.480195,1.430556,0.689712,6
-1.531094,0.492549,-1.003626,-2.14116,3.718665,1.113726,-1.392421,-1.72262,-0.546798,-0.408277,-0.734083,6
-2.292066,0.25512,-1.920647,-1.731068,4.765871,1.957075,1.95392,-1.056205,-2.567339,0.623091,-3.1001,2
1.866708,0.740308,-1.303127,-0.550915,-0.11155,-2.160933,-1.453453,-2.385799,-1.963234,-1.880895,-0.317428,3
0.394716,-0.062071,-0.727236,-0.965582,-2.847622,-1.783324,-1.432748,1.898737,-2.171191,2.784176,5.396144,6
0.872888,1.588538,3.698867,-3.462634,-0.955751,3.408184,0.815496,-3.274755,0.08993,-1.272762,6.099125,2
-1.456719,0.303648,-0.057169,-2.217494,-0.043874,0.638514,-0.089616,-0.470155,-4.026282,-1.282938,2.78246,0
0.910826,-3.164554,3.833631,-1.268664,-3.819746,-1.419536,-2.40459,-0.649593,0.909139,-0.042297,-4.313444,4
0.36128,-1.858304,-0.485224,1.36171,0.500301,-1.672689,-2.41376,-0.442698,1.060129,-1.23686,-1.141668,3
-1.434301,-1.187157,0.585615,2.511068,-3.983695,-0.92036,0.140449,0.414447,3.421311,2.780054,-2.937084,4
-1.169634,-0.335177,-1.62017,-0.889933,-0.15469,2.17025,-1.032169,1.296011,-1.511286,0.286476,4.494799,7
-1.794163,-0.365705,2.04531,1.172448,-1.294091,0.948121,1.981908,3.037048,-0.017746,-1.562474,-1.40232,1
