@relation art-17-weka.filters.unsupervised.attribute.NumericToNominal-R21

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
1.302753,2.472948,-0.418271,4.865339,3.772013,0.801746,2.964313,0.217502,1.28117,-6.750015,3.713594,-0.464054,-2.155362,1.56858,3.388457,-0.250587,0.612721,4.113526,-0.044994,-1.78221,9
-0.855104,-6.792481,2.793528,-2.25458,-0.49973,-0.486274,-1.63276,-3.878712,0.491536,-3.664451,0.537477,0.556415,-2.968261,6.293432,2.722012,-0.586493,-4.366202,3.957865,5.033144,3.564713,8
1.296398,0.159839,-5.890053,4.605004,0.246675,-2.48616,0.124857,-3.766401,-2.288435,1.463715,-1.893367,-2.687327,-1.795134,-1.439391,-0.108692,0.188775,0.600132,4.555832,0.096794,5.25847,3
-2.851795,-3.24069,-5.399376,-0.030687,-3.188634,-4.113555,-1.41478,-2.042381,-1.035275,-3.909067,-2.208731,0.99353,0.18136,2.577817,3.321394,4.729777,-1.577762,-1.658618,1.080817,0.790664,0
-1.940818,-1.671218,0.749607,-0.392598,-1.197681,0.443594,3.780486,0.852924,2.100459,-1.067495,0.93786,3.727616,1.131383,2.140334,1.46101,2.677092,-0.297133,-1.367365,3.449562,-0.006997,9
-3.315924,3.903508,2.874068,-2.91538,-2.628591,0.901613,1.328495,2.402833,3.587935,1.535642,0.207383,-0.942589,1.163357,1.602466,1.069114,-3.694571,-1.356164,-2.543588,2.298003,0.813809,9
-1.799808,6.571462,-2.123375,2.347377,3.80272,-1.575329,2.204192,0.933135,1.49877,-4.350183,7.694108,2.019474,-6.111895,-3.94456,2.579058,-5.176219,0.430805,-2.094715,0.076237,1.058691,2
-5.761161,-0.567145,-6.038769,-2.87002,-1.452944,-2.093534,4.510263,4.955458,8.445277,-3.826363,-6.431016,3.513295,0.472347,3.497872,2.408055,1.204571,-1.099126,2.443028,0.28734,0.327566,4
-0.825139,3.00028,-0.492272,0.508839,7.849222,0.152353,-0.398532,-0.75654,-1.185622,6.612846,0.135197,-0.673087,-0.258298,-0.245521,-1.103287,0.885159,1.648441,4.160512,5.019485,5.391076,3
5.409335,-1.925807,-0.64594,1.64766,-1.203724,-1.477902,2.957684,-0.583331,1.735956,-0.262952,-1.326455,0.385533,-0.761313,0.334307,2.135598,-1.599561,-1.690852,-2.762136,-0.28652,-4.437385,3
