@relation art19-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute class {0,1}

@data
2.255574,-0.341035,-0.184914,0
0.902549,-0.480256,-0.392213,0
0.168645,-0.459508,-0.777558,0
0.365696,-1.209811,-1.339602,0
2.119337,-2.211596,1.29414,1
1.068901,-1.032692,-0.942239,0
3.635255,-0.907929,-0.096878,1
3.349788,-1.815513,0.018808,1
1.007584,-0.955082,1.171009,1
2.014376,-0.657009,-0.254642,0
-1.180236,-1.820455,0.540676,1
1.894938,-1.664644,-0.980908,0
1.798073,-0.978766,1.510117,1
1.355187,0.559613,-0.372677,0
0.758075,0.510385,1.671557,1
1.140132,-1.073123,-1.025946,0
0.484619,0.283845,0.731454,1
0.93743,-1.745861,-1.884038,0
0.871403,0.443871,0.175229,1
0.206755,-2.090749,-1.442952,0
1.681771,-1.022532,-1.059958,0
3.377891,-3.771761,0.04938,1
0.411388,-0.796016,1.426072,1
0.294466,-0.191166,-0.608667,0
1.218955,-0.567294,-0.729034,0
1.82481,-0.079119,1.193946,1
2.565867,1.077169,0.168567,1
2.77888,-1.320449,-0.900543,0
1.738778,-1.265134,-0.155869,1
1.487743,-1.00404,-0.533627,0
1.144733,-1.63408,1.135723,1
1.747436,-2.833653,1.020891,1
0.934227,-0.343356,-0.762912,0
1.257704,-0.963247,0.148446,1
2.013966,-1.652599,-0.670296,0
2.721745,-3.975744,0.128335,1
2.699372,1.368945,1.259636,1
3.171045,-1.613151,0.686507,1
1.326094,-0.538529,-0.662168,0
1.017632,-1.211041,-0.676038,0
-0.246271,-0.289162,-1.202891,0
-0.314373,-2.099587,1.089697,1
2.603016,-0.80036,-0.472166,1
2.315221,-0.320628,2.016362,1
2.384413,-4.507529,-0.538033,1
1.171248,0.103483,0.707457,1
0.632234,-0.431241,-0.65647,0
0.895352,0.530601,0.75007,1
1.479291,-1.657247,-1.083365,0
2.463586,-3.181588,-1.398822,0
-0.580431,-1.107732,-1.258306,0
-0.694883,-0.50759,-1.051096,0
1.276133,0.882588,1.234337,1
0.393791,-2.372954,-1.518622,0
-0.897804,-2.135266,1.510485,1
1.615288,-0.919707,-0.681442,0
-0.138454,-0.477764,-1.00523,0
0.100251,-1.935655,-1.385699,0
-0.155151,0.066098,0.480388,1
0.05879,-1.734547,-1.805818,0
1.580472,-2.054904,-1.044874,0
-1.278189,-0.296771,1.260311,1
-0.85785,-0.110599,1.965184,1
1.574924,-1.631811,0.077541,1
0.570076,0.71544,1.369561,1
-0.592026,-1.086086,1.655945,1
1.642416,-4.803514,1.025703,1
0.175104,-0.390679,-1.012339,0
-0.115684,-0.275591,-0.231812,0
2.52528,-0.286915,0.039569,0
1.122021,-0.322136,1.050653,1
1.930439,-0.559753,-0.352187,0
-0.494832,-1.319193,-1.623098,0
1.999109,-0.336728,-0.085341,0
-1.660471,-2.135274,0.939054,1
0.816009,-1.134819,0.815316,1
1.169358,-1.705966,-0.074327,1
0.70367,-1.951302,1.164279,1
0.875628,-0.313805,-0.928411,0
1.129475,-1.044957,1.150412,1
1.796564,-0.204037,1.060335,1
1.844689,-2.92599,0.402277,1
1.005106,-1.523486,-1.217554,0
-2.252797,-0.17403,2.393889,1
1.253991,-0.66157,1.347654,1
1.80442,-0.385437,-1.042838,0
0.433226,-0.780618,-0.520349,0
-0.395533,-1.214673,-2.046898,0
1.369839,-0.820165,-0.869289,0
1.852326,-1.545208,1.384088,1
1.334525,-0.718448,-1.094264,0
1.702484,-2.184437,0.999821,1
0.897676,0.215312,-0.460914,0
1.506508,-1.039884,-1.618962,0
-2.587062,-1.6969,1.632582,1
1.440227,-1.964263,-1.627988,0
1.164597,-1.551932,-1.654631,0
0.476235,-1.108609,1.089517,1
3.02497,-0.134134,0.710352,1
0.861705,-1.22442,-1.085305,0
