@relation art20-weka.filters.unsupervised.attribute.NumericToNominal-R8

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute class {0,1,2,3}

@data
0.216689,-1.834401,2.213942,-2.739267,0.494703,2.274645,3.116634,0
2.729963,-0.813441,0.489852,-0.381926,0.786578,-0.184913,1.595245,0
0.648469,-0.756895,1.64169,-1.782231,-0.203807,1.766234,0.635047,0
0.498024,-0.350139,-0.903652,-1.160907,-0.36649,-1.581679,2.482015,1
2.151336,0.347315,-0.143221,-2.255407,-2.198685,0.691109,0.371139,1
1.016815,0.73007,2.535967,-0.242914,-0.254813,-0.395429,1.060832,0
-0.514022,0.511037,-1.609111,-0.518358,0.044961,-1.475913,0.528322,1
2.607122,1.803584,0.001776,-1.418258,3.905963,-0.13563,-2.338536,3
1.029329,-1.406704,-1.042217,1.386425,-1.194966,1.797925,2.233356,3
1.876773,-3.188955,-1.594664,-2.419665,1.351172,2.868178,3.664593,0
-0.075925,2.536614,0.982206,0.472458,-1.16027,1.272109,-4.511349,2
3.517297,0.595333,-0.916711,-3.423871,3.395279,-0.694095,-3.702586,3
0.677524,0.05634,-1.888352,3.25551,0.012725,2.665734,-0.633395,2
-0.080723,2.714292,-2.11376,1.800424,1.045632,-0.034441,0.794472,3
1.274736,1.284008,2.88672,0.898503,0.027002,-1.657295,-0.474134,0
-0.133387,0.065319,-0.61888,2.818819,2.684129,-0.355457,-0.452904,2
2.673531,1.032038,-0.645678,1.382669,-1.014805,1.289308,-0.440657,3
0.421782,0.90088,-0.426225,2.070099,1.094864,2.445247,2.18917,3
2.04314,1.429159,1.591498,-1.965912,-2.104,-0.269578,1.303925,1
-1.289723,0.230275,4.689317,1.008369,1.88139,-0.141092,1.405491,0
3.702314,2.580253,0.781503,-1.765863,-2.198573,0.112574,2.094811,1
1.560976,-2.390566,3.537417,-1.430069,-0.067441,4.3349,4.272933,0
-0.664197,-1.194892,-1.085585,-2.258755,1.05385,-4.286901,4.485029,1
2.180133,0.96226,0.100189,-0.09823,1.375003,1.446816,0.027054,3
1.570764,1.517294,-0.148659,0.800436,2.716743,0.681734,-0.903993,3
0.893277,1.966421,-0.590358,-0.572595,-0.329429,-0.581145,1.159344,1
2.823943,0.573888,0.392203,1.048696,1.05313,1.264425,-1.609212,3
0.377802,1.57839,-0.353188,1.928097,2.505382,-0.685698,0.365445,2
1.231761,6.327869,-2.589018,1.035376,0.381703,-2.34109,-0.646241,1
3.161712,0.692312,-0.033498,1.398305,-0.464777,3.311856,0.390259,3
-2.1894,-0.429734,-2.207666,-0.387715,-0.614042,1.018236,-3.298744,2
-1.015136,3.970063,-0.571292,1.146897,-0.445987,3.174531,-2.655076,2
-0.494293,0.151182,1.789471,-1.879261,0.146255,0.405349,1.878609,0
-0.188065,-0.629787,-0.327676,-0.388435,3.336887,-1.23466,-0.574193,0
0.907414,1.877608,-1.293503,1.045231,-0.43786,1.646188,2.133489,3
1.136323,-0.348982,-2.040496,-0.291122,0.412118,-0.177649,0.593403,3
2.430362,0.147106,1.816213,-3.262646,-2.239139,0.013947,3.504666,1
-0.206728,0.329909,-0.781645,1.387345,1.785864,0.919255,0.127796,2
-1.145409,-2.139241,-1.702503,-2.947252,3.370389,0.726552,0.952868,0
0.421179,0.979401,-1.503408,2.826301,0.516768,0.968706,-1.920804,2
2.019792,-0.34422,-1.893297,-2.632423,1.42102,1.215936,0.694096,3
