@relation art22-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute class {0,1}

@data
-0.142945,0.673798,0.273325,1.329208,3.093888,-0.297043,1
1.15945,-1.889408,0.213492,0.281013,2.15901,1.108698,1
0.175976,-2.469631,-0.765119,-0.647615,-1.371561,-0.374366,0
1.373076,-2.616983,-0.086253,-2.84223,-1.114345,-1.520655,0
-1.240327,-0.379945,-3.504313,2.153928,-3.916193,-2.494282,0
2.588496,-0.279696,-0.500958,-0.374725,2.501278,2.191755,1
2.347015,1.711231,2.8926,0.51977,-3.046256,3.220224,1
0.903183,0.507088,0.439864,-1.473468,2.03404,0.09818,1
1.272696,1.923456,1.706891,2.828171,-0.640197,2.628494,1
3.384844,-1.350032,3.115247,-1.041923,-3.514989,2.968878,1
2.287605,0.569135,-0.302265,-0.744562,-0.073817,-0.303027,0
1.041539,-1.306551,-2.237836,-2.184833,-0.761277,0.118873,0
1.66681,0.999385,0.669313,1.017788,0.999993,0.483577,1
2.200017,0.764807,-0.058628,-0.361825,-0.691064,-1.65186,0
-0.022254,-0.754727,0.878986,0.750843,1.628384,-0.920598,1
-0.007819,0.2931,-1.304794,0.974998,-0.736718,-2.458945,0
1.220041,-1.315287,-0.582596,-0.039654,-0.887178,-0.189096,0
0.96025,-1.583335,-1.270763,-1.321263,-1.575125,-0.001707,0
1.6,1.630093,-0.90562,1.155348,0.041412,-1.51044,0
0.992766,-0.77635,-1.760321,-2.622366,-1.26247,-0.616946,0
1.025154,-0.222185,-0.243489,1.504698,-1.06798,-1.780378,0
2.565988,-0.239857,0.367734,-0.920203,-1.686316,-0.291709,0
1.892935,-0.497833,0.165008,-0.070593,-0.055425,-0.221756,0
0.345868,3.156004,0.96163,1.746814,1.670151,0.861769,1
3.272757,0.900625,2.904829,0.334251,-3.160694,3.624526,1
0.045162,1.257645,2.366,1.576754,-0.804006,0.384916,1
1.692864,-1.274249,-1.096279,-0.633123,-4.113294,0.259632,0
0.20676,-0.004545,-1.962821,-0.442443,-1.111422,-2.101453,0
-0.645218,5.885012,2.379518,1.485955,-0.172385,-0.141334,1
1.507639,2.104503,2.078638,0.742161,-0.967644,1.157957,1
-1.296538,2.210122,1.60892,1.360157,1.206634,-0.801462,1
2.003276,-0.514915,0.132143,-0.185795,1.891217,1.503811,1
0.94317,-0.167162,-1.118375,-0.855075,0.597517,-2.359296,0
0.425113,0.76378,1.300134,-0.312357,0.630372,-0.392445,1
0.998223,1.005771,0.56967,1.273437,1.596123,1.524967,1
0.815546,-1.139667,-1.474683,-1.226388,-1.319231,-0.583688,0
-0.334758,-0.035677,0.106217,1.664676,2.886923,-0.449381,1
