@relation art23-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute class {0,1,2,3}

@data
-0.484259,-1.118903,2.559695,0.236274,3
-0.702808,-0.632029,-1.901833,1.389127,0
-1.016401,-2.798759,-1.990576,0.917342,3
-0.13195,-1.393213,-0.010479,3.292106,0
1.052995,-0.538942,1.383929,-0.917846,3
-2.686272,3.447444,-1.051352,-0.537555,1
-0.978959,0.736477,-0.703349,-2.269565,1
-2.425253,-0.147035,-2.106199,-3.636921,1
-3.026127,2.197746,-0.066842,-0.737042,1
-1.199425,1.898895,0.113569,-0.094917,1
-2.217903,1.532926,-0.04959,-1.715955,1
-0.917009,-0.128935,-0.02868,1.565976,0
-1.490023,0.565647,0.34447,2.631155,3
-0.967288,-2.533602,-3.523494,-0.05669,0
-0.36226,-2.116001,-2.136287,-1.986938,2
-0.604608,-2.268658,-2.379507,1.17632,0
1.736348,0.431832,4.42037,0.186888,2
1.613833,1.3604,-1.682955,0.411713,1
-0.925695,-0.702133,-0.530368,1.637669,0
1.050514,-0.249579,0.728983,-0.356694,2
-0.831585,0.251225,-1.047468,1.533529,0
3.468511,-3.940135,-0.356231,0.243044,2
-2.080913,1.91899,-0.803834,0.014878,1
-1.161427,1.38147,4.460705,2.76882,3
-1.464781,0.562909,0.470798,0.127907,1
-1.388147,-0.662689,1.107691,1.277455,3
-1.304305,-0.157792,-1.005698,0.196474,0
0.061928,-2.041165,-0.327428,0.173683,3
-0.522487,-1.092387,0.003646,-2.028128,2
-1.823503,0.902933,3.992271,3.346086,3
-1.350094,-0.417613,-0.19127,0.646077,0
-1.320985,-3.082542,-1.112806,-0.14022,0
0.270938,1.690639,-1.295859,0.307132,1
-1.140213,-1.767478,0.870945,-0.348656,3
1.877238,-0.614155,1.476126,-0.004776,3
-1.040262,-1.932922,-1.498742,0.657776,0
1.694994,-1.332133,0.994165,-1.117208,1
-0.127233,-0.90817,0.278977,0.736093,3
0.059293,-1.912044,0.416968,-2.304737,2
-0.322442,-1.168613,0.309448,-0.567128,3
3.090517,-1.370663,3.457746,0.463665,2
-1.01972,-1.094692,-2.652502,0.31739,0
-0.893141,0.528378,-1.389869,-1.959014,1
0.282649,2.461709,-0.29619,2.165531,1
1.448775,-0.642824,2.987741,-0.524777,2
0.171899,-1.598189,-1.09118,3.392853,0
1.695241,-1.611124,-0.107698,-0.346119,2
-0.206639,1.980374,-2.143855,-0.831157,1
-1.194276,-0.918176,1.80657,1.18905,3
-0.302168,-1.228738,-0.112972,2.879564,0
-0.653629,-1.729655,2.526783,2.754726,0
0.36929,-2.714102,-2.109203,-2.411407,2
-0.253347,0.408562,-1.425697,-1.515144,1
0.174117,0.062975,2.091663,-1.848924,2
1.252923,-1.93778,-0.182556,-0.108849,3
-1.800692,-2.802506,-0.241272,-2.239098,3
-1.202993,-0.543106,-0.13171,3.379137,3
-2.664494,-1.279431,-0.259144,1.731904,3
1.133182,0.085843,3.149861,-0.547824,2
0.485023,-1.290792,0.291954,-2.067978,1
-1.016442,-1.998283,1.449849,0.558785,3
-0.979224,-0.013788,1.434859,1.973258,3
1.229529,-1.01677,-0.985639,-0.26699,2
-3.192769,2.171726,-2.368332,-2.377304,1
-1.761844,-2.336529,-1.736629,2.219768,3
0.017259,1.923315,-1.271324,0.000615,1
1.160282,0.200288,3.282282,-0.022743,2
0.188586,-2.54337,1.520048,-3.274976,3
-0.204403,2.023448,-2.597639,0.501652,1
-2.693729,-1.027917,-2.877589,-4.279585,1
1.42855,-1.775185,-0.544025,-0.68062,2
2.320712,-0.334595,3.234436,0.578289,2
-1.45526,-1.738917,0.883026,0.948966,3
-2.313189,-0.720952,0.438303,-2.944416,1
-1.352725,0.033681,-0.1139,0.944779,0
-0.28959,0.355773,-2.241661,-1.58935,1
2.191369,-0.520662,1.140974,0.651301,2
-1.629774,0.90395,-0.052307,0.366891,0
1.022944,0.296111,2.876177,0.076906,2
-0.778027,-1.342204,-0.236152,1.499706,0
0.402573,-0.776354,-0.757644,-1.73743,2
-2.153745,-0.573067,-0.102603,-3.488503,1
1.181867,1.258562,4.584883,0.052033,2
-1.225229,-2.681141,-0.919396,0.350859,0
-1.179443,-1.027671,0.857183,-4.016352,1
1.220414,-2.425193,0.804455,-1.263872,3
-0.336416,0.829907,0.773197,-0.221917,1
-1.106854,-0.66293,0.283634,1.496257,0
-1.500092,1.095407,2.450004,2.219144,3
0.37437,-0.052778,1.78067,-1.205286,2
-1.199567,2.132184,-0.796563,1.321506,0
-0.838873,-1.02279,-2.306428,1.040051,0
0.854875,0.609797,0.389729,-0.397664,2
-0.669339,-2.125241,0.703338,2.165109,0
0.547362,-0.651857,2.282038,-1.490412,2
0.146472,-2.779354,0.087825,3.675318,0
-1.510895,-1.022459,-0.875014,2.031431,3
3.330971,-2.604565,1.59114,0.481236,2
-1.313622,-1.056351,-1.484963,0.211005,0
1.393621,-0.726185,-0.063656,-1.095034,2
