@relation art-24-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1}

@data
-1.939203,1.975529,4.504363,3.993499,-1.446913,-0.949919,-4.349313,4.392675,-5.008691,-2.636429,3.912304,4.359855,0.225382,-2.185485,-0.462991,0.502032,-0.448524,1
-0.394376,-1.088519,3.253457,-1.195479,3.958848,1.010286,3.233207,-1.834989,-0.498867,-1.689345,-1.965679,-1.91383,-3.499044,-5.206944,1.93533,-2.273103,-4.460205,0
0.282519,3.893675,2.656383,1.95264,-1.898503,-1.510583,-5.989158,-2.141823,-0.701163,-2.650108,2.900543,-0.875507,-2.05672,0.256437,-2.212343,-0.61963,-0.444069,1
0.490893,-0.064815,3.73263,-2.585502,0.451648,0.545583,4.59792,-1.394022,2.734075,-1.591659,-0.18702,-2.569096,-2.991274,-1.848228,4.182564,-1.684538,-3.798216,0
1.463605,0.353505,2.177205,0.000929,0.33435,-3.084678,-0.86645,-0.974543,0.380751,-2.138522,1.305491,-1.325421,0.501865,-0.474328,-1.265297,-0.633855,-0.626225,1
-1.064691,0.750399,0.229449,-4.711952,-1.770349,-0.884115,0.70239,0.279766,0.279535,1.793791,3.546836,-6.122195,-2.537527,0.489692,-0.233318,-1.104256,1.320341,1
3.008554,2.56293,7.141326,-3.696855,3.695571,1.355971,1.083545,1.092352,5.291903,-6.883296,0.169894,0.192728,-1.817752,-4.026935,3.037073,1.000418,2.158765,0
1.65478,-2.375935,0.360466,0.728933,-0.926148,-0.93852,-0.428207,2.539989,-1.075965,2.073354,-0.844478,2.741948,-0.108548,-0.62653,-3.211575,1.214471,-3.647569,1
3.238671,3.309834,2.498652,3.344082,4.40807,-0.070461,3.63839,1.020065,1.828094,-1.164933,2.210194,0.070526,-3.573809,-5.071699,-0.302534,5.335001,1.896376,0
3.718414,-2.514081,2.916539,-0.180552,-1.770383,-0.50061,-0.288983,-5.616226,1.739872,-2.421994,-1.583174,-3.931741,1.657843,-0.411357,-1.657253,4.399558,-1.441826,1
3.779916,0.876487,2.105476,-3.011966,0.079218,0.845935,2.292249,1.985863,-2.550131,-4.021336,1.883509,-1.673966,-2.868571,-3.039981,1.41051,0.3542,-1.071484,0
