@relation art25-weka.filters.unsupervised.attribute.NumericToNominal-R8

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute class {0,1,2}

@data
0.485102,-0.221519,0.813145,-0.971057,0.231367,-0.849154,2.898948,0
0.967816,0.495428,1.764578,1.137372,-1.541729,0.716536,0.144496,0
1.636183,2.255252,1.155038,-2.292203,1.363843,-0.517228,-0.364491,1
-0.397263,1.165929,3.866605,2.322083,2.182395,-1.0527,0.34903,2
0.823775,1.072139,1.624087,1.439001,-0.184693,-1.556693,-3.737583,1
3.689852,0.434108,1.697996,2.503635,-1.695252,-1.844471,0.805453,0
-0.572176,1.409107,0.339967,0.98179,-1.444818,-1.160365,1.943922,0
-0.980671,2.294296,-0.547855,-2.52478,1.930336,-2.260072,1.280847,2
0.991027,0.815757,-1.417985,-2.702275,1.310245,-3.032509,2.855894,2
-0.046342,-1.415352,1.28911,-1.647482,0.964328,-0.174132,0.766314,2
1.002997,2.129307,3.854984,-0.654861,-0.372797,-0.127887,0.987032,0
-3.214808,0.229261,2.450369,-3.74447,0.282238,2.557488,2.312391,0
-2.029044,-2.151519,-3.538444,-4.358041,2.102506,-2.542135,-0.278235,2
-2.861225,0.300756,0.444525,-0.795254,0.967621,-1.248802,-0.354889,2
-3.700539,1.968296,1.697362,-1.834466,-0.727298,2.937516,0.003883,0
0.641132,1.263807,2.082645,0.543534,-0.974556,1.020304,-0.744394,0
2.760927,1.293108,-1.913938,-1.247173,3.276108,0.640854,2.238114,1
-0.529978,3.081835,0.615561,-1.860337,-1.249672,2.899659,-0.880059,1
4.350112,1.923795,-1.581822,0.910764,3.735104,-0.025403,2.361143,1
0.027939,-0.858126,0.650206,0.464927,1.448353,-3.283141,-1.474665,1
-0.345128,3.003525,5.400575,-1.846893,-1.052681,0.503161,3.063382,0
-0.017728,0.852636,-1.12944,1.312044,-2.035209,1.106797,-1.376924,0
-0.47933,1.158496,2.354256,-1.889249,-0.657639,0.242009,2.830019,0
0.033833,-0.861808,0.955179,-1.092014,0.235444,0.727072,1.650795,0
0.805698,1.663783,-0.800038,-1.363411,2.357313,-3.656218,0.502962,1
-0.487153,2.474625,1.971907,-1.920285,0.039806,-4.475638,-3.34265,1
-1.079677,0.928628,-1.408893,-0.980007,-1.047873,-3.405042,3.084038,2
-0.315164,-0.285007,1.35468,-1.79926,1.198527,-0.154859,0.62854,2
-2.378401,1.646997,-1.103793,0.714086,0.854044,-4.057229,1.781091,2
1.884609,-0.187068,4.045148,-1.121891,-0.021843,1.690257,2.247436,2
-1.302529,2.201354,1.474534,-0.946637,2.228169,-0.973626,1.229604,2
-1.342187,-1.077316,-2.814822,-0.643161,-1.299776,0.67694,0.662245,0
1.73755,5.463602,2.047294,-1.360897,1.48664,-2.602386,-0.626688,1
-2.191599,-0.023888,-0.896889,-2.155464,-0.102151,1.612674,0.841771,0
-0.466118,-0.33362,2.472915,-1.051367,2.19773,-0.912299,-2.944003,2
-1.322489,2.174579,3.76425,0.608233,2.168957,0.911168,-0.021934,2
-2.900143,3.95632,3.995762,1.843539,0.808197,0.654832,0.957769,2
2.213797,2.668804,0.814992,0.695416,1.587125,-1.76599,-1.255052,1
-2.833766,1.21569,0.351525,-1.202819,1.877898,-1.242368,-1.647078,2
0.694242,0.091101,-1.355018,0.6983,2.005832,-1.608173,-0.085981,1
-1.949795,0.279548,0.979625,-1.748157,-0.757477,0.919809,2.293672,0
1.545101,3.146258,4.25995,0.480722,-1.326796,-0.858725,1.662444,0
-3.181215,0.393721,-0.322348,-2.369968,-0.97481,3.542972,-0.871673,0
-2.084363,1.317227,-0.71076,-1.383087,-0.61166,1.12804,0.353595,0
-0.085734,-0.432756,-0.054593,-0.600562,-0.303486,1.5814,-1.333051,0
1.62751,0.327991,3.773184,-0.379063,-0.792679,-0.261451,1.902241,0
0.845647,1.176487,1.05811,-1.452546,0.865618,-1.200669,-1.132536,1
2.056995,-1.203956,0.385627,1.641104,-1.350545,-0.854053,1.474281,2
-1.125368,2.890549,4.382016,-0.236823,-1.586156,1.034619,0.343834,0
0.304282,1.849242,2.677166,-2.597407,-0.098729,0.115559,-1.367202,1
-0.421233,1.160232,0.253198,-3.651754,0.266921,1.116485,-1.04207,1
-1.178247,-2.377323,1.715407,-1.11518,-0.553593,-1.196651,-2.405569,1
0.945279,0.414798,0.43149,1.233119,-0.47151,-0.129935,-0.425388,0
1.758543,0.362265,-0.55356,0.276818,2.254151,-1.981902,0.234337,1
1.476144,3.454409,2.495898,-2.996494,1.616149,-1.924595,1.225538,1
0.611743,3.803657,2.219214,1.202115,3.900014,-2.850621,1.975545,2
-1.766446,-0.888734,3.020344,-3.200356,-1.522312,0.422943,-3.134549,1
-2.225857,1.862721,2.487469,-2.313453,-1.547852,0.739053,3.382805,0
-0.71869,0.183563,-0.140717,-1.50623,-1.350721,-1.105372,3.069133,2
-1.180723,-0.548746,-1.443714,-2.525212,-0.213113,-2.540176,0.420667,2
1.069645,2.101971,0.414031,-0.277042,0.25575,-0.728744,-3.614768,1
-0.983451,-0.549502,-1.09107,-2.462769,1.413174,-1.479684,2.526358,2
0.267744,0.996715,-0.123477,-0.801794,2.283813,-3.00868,2.376454,2
-0.061791,-0.55153,2.04615,-1.845028,0.339864,0.384399,0.345637,2
0.188492,-1.37053,1.28352,-1.404134,-0.532257,2.801641,-2.446115,1
0.200136,0.341448,0.914903,-2.140702,-0.154565,-0.293776,1.967327,2
-1.358048,3.727959,-1.625096,-0.298554,0.888665,-4.354086,3.795989,2
1.014818,-0.671095,-0.531609,-0.109066,0.527234,2.673531,-1.117695,1
-0.90144,-2.504433,-0.782042,-0.816192,0.529876,-1.274453,-2.677055,1
-0.427188,-0.238904,2.725767,-0.90644,-0.70815,-1.081096,-3.980321,1
-1.539049,-0.422784,3.717404,-3.711526,-1.832254,-0.769024,-3.305342,1
-1.463854,0.312114,2.053168,-2.463655,-0.743059,1.840606,0.908378,0
-2.101398,0.089898,4.228855,-1.951444,-2.089598,-2.602985,-4.219578,1
-2.075777,0.881365,-0.711764,-1.671855,1.52343,-2.719138,-1.295947,2
-1.56501,0.663522,1.434915,-0.226413,-1.652688,-1.167185,-0.658291,2
1.232784,-0.133559,1.497234,-2.06944,2.163349,-3.063402,-2.228974,1
-1.39216,3.147024,0.211842,1.342201,-2.541762,0.876255,-1.200328,0
0.410607,0.411692,1.466821,1.125971,-1.027406,0.127876,0.346329,0
0.410477,0.638778,0.169176,-1.724281,0.105433,-1.817142,2.129862,2
-0.574579,-1.58905,-2.086401,0.081146,0.375576,0.381677,-0.146636,0
-0.833922,2.748698,3.821607,1.521499,0.972334,-0.337213,1.27137,2
2.116081,-0.71401,1.119873,-1.730171,2.086278,-0.143196,-0.208046,1
-2.310764,-2.285041,4.094392,-2.810865,-3.177849,1.336609,-5.976517,1
-0.885001,0.055299,1.452194,-0.486462,-0.999781,0.280156,-1.755073,1
1.263265,-1.168481,1.661625,-3.856297,2.270285,1.174781,1.231027,2
1.72114,3.439935,3.101175,1.177951,-3.483595,-1.076675,2.251908,0
-0.455781,3.447133,2.48299,-0.129849,-2.138223,1.042645,-0.2165,0
-2.972764,0.681906,0.812175,1.696109,2.166909,-2.642173,-0.931423,2
-0.666395,-1.766447,-0.161861,-1.619404,0.252699,1.521066,0.536986,0
3.300184,0.810474,1.984846,0.465604,2.038042,0.452569,2.310319,1
-0.482449,1.090289,1.161131,0.05565,-1.578981,1.128228,-0.559045,0
-2.629255,2.180624,1.066166,-1.696707,-1.001463,1.909737,1.062916,0
-0.727766,1.603339,3.375992,0.54654,3.127511,-0.816768,-1.31941,2
-2.242029,0.7957,2.798292,-0.486757,2.049466,1.160416,-0.523064,2
0.463074,3.520597,1.571096,-1.319296,0.460059,-1.550297,0.37294,1
-0.83829,-0.569108,-2.397201,-3.860295,0.590284,-1.797016,2.384115,2
-2.050606,-1.505621,0.36579,-1.296414,-2.212191,2.856061,-2.487373,1
-2.171767,0.795575,0.759314,-0.002209,-0.477637,3.256485,-2.782732,0
2.014512,-1.159997,-0.184823,-0.795358,1.888039,-0.110931,-0.118093,1
0.384237,1.701209,5.208087,0.841011,3.755169,1.767615,0.973991,2
