@relation art27-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute class {0,1,2,3}

@data
4.991136,-1.686727,0.585377,2.433607,-1.366299,-1.855303,0
1.498225,-0.84174,-0.64056,-0.951432,0.166352,-0.64068,0
2.133958,0.096562,-2.150724,-2.349489,-0.348056,-3.613089,3
2.029811,1.685386,2.607325,2.901052,1.99352,0.538122,0
-3.037684,-1.934488,-0.058352,0.164554,-0.311288,0.184787,2
1.321,-1.489898,-0.24637,-1.573962,0.450921,-1.44957,1
2.14419,-0.904746,1.08663,0.828621,1.781645,-3.401854,1
4.301816,1.345113,-3.143808,1.776509,1.324806,-2.613733,3
3.520877,1.829797,-4.080333,4.593851,-0.029611,0.358795,3
0.339502,-1.639201,-0.760798,-0.915988,0.182983,-0.007576,1
0.689664,0.122424,3.945569,-0.996335,-0.325292,2.076954,0
-1.118359,2.57114,0.880326,2.642444,2.647643,2.68589,0
0.081242,-1.362006,1.471473,0.577745,-0.586571,1.889938,2
-0.619034,0.017936,-0.876642,-1.040745,-0.501245,0.694889,0
0.13143,-1.262286,-0.592466,-2.010903,0.713597,1.233205,1
-1.160038,0.492808,1.033444,1.226791,0.552237,2.240566,0
-0.771015,1.708206,2.905289,-2.070734,-2.674445,-1.319799,3
2.267578,0.729805,-4.391036,3.50065,-0.298466,-1.294262,3
-1.02113,-0.053862,0.703209,0.073037,-1.476891,1.723208,0
0.363282,-0.341541,-0.365527,1.471279,0.830472,-1.566818,3
0.435037,1.016795,-0.682419,0.206572,0.22627,0.838751,0
1.679061,-0.279513,3.098447,2.082749,0.319244,1.220445,0
0.162737,-0.476762,-1.28787,2.398294,-0.483802,-0.536872,3
-0.560612,-2.933534,1.865885,0.663346,-0.028702,0.224347,2
1.461757,2.039325,0.967654,2.001881,1.611013,0.684702,0
0.210094,-2.075274,-2.24738,4.678997,-0.555052,1.105553,3
-0.835481,1.023914,0.50992,1.435271,-1.999755,1.703009,2
3.290111,0.524607,-1.579099,1.827174,1.423068,-0.327898,0
0.52207,-2.698558,-0.225685,1.29644,-3.111032,1.238628,0
-3.819515,2.09185,-0.618469,1.767509,-2.463286,0.856551,2
-0.355745,0.85318,0.154429,1.110503,-2.201011,1.702545,2
1.93965,-0.414061,-1.806987,4.112276,1.449774,-0.006256,3
2.854197,0.434952,0.015968,0.894556,0.426706,-1.063333,0
1.140957,1.848262,0.476839,1.542236,1.731857,0.883052,0
-0.568505,-1.743271,-1.736181,2.65844,-0.781804,-0.478197,3
-2.858531,0.396689,-0.283547,1.53598,-2.144826,0.034068,2
1.099904,-0.727496,-2.752028,0.281691,1.828588,-2.745044,3
-0.1444,1.575871,0.631914,-0.37422,1.578168,-0.183555,0
-0.803723,-1.519196,0.239849,-0.664127,-2.447556,-1.026672,3
0.379693,-0.375491,1.795256,0.380154,-0.971275,1.441035,0
0.259351,-0.447243,0.939029,-0.170132,0.521711,-0.055621,1
0.861388,-1.532429,1.203046,-0.025834,0.519756,-1.652637,1
-0.084449,-3.513651,1.191294,-0.371782,0.922858,-0.178758,2
1.992779,0.138593,2.470659,-2.578716,1.114708,-1.967404,1
-0.748378,0.222747,1.029039,1.515109,-1.906006,1.719524,2
-0.840726,2.02695,4.088929,0.844167,2.077693,3.144162,0
-0.811306,1.563724,2.690816,1.063845,1.075979,3.028757,0
1.232202,0.649787,-0.946708,-2.882299,0.236471,-4.572709,3
2.235364,-3.401961,1.694549,-1.466695,2.73643,-3.280002,1
0.850258,4.825727,1.746911,4.25098,0.490536,2.205731,3
0.165865,0.396293,1.808623,2.333111,-2.14644,1.610412,2
0.73858,1.307195,-3.775506,3.448116,1.023537,-0.132136,3
0.370601,-1.018182,-0.556955,1.511126,-3.298371,-0.150302,3
2.204333,0.497623,2.771802,0.466539,0.704438,-3.302997,1
-0.863444,-1.679789,4.029639,2.124469,0.634601,2.694313,2
0.592707,-2.617793,1.478147,-0.070556,0.515648,0.315138,2
0.613529,-0.959856,0.51366,-0.413849,0.606201,-0.629389,1
-0.262676,1.547822,0.675082,-2.828444,-2.752206,-2.748751,3
