@relation art29-weka.filters.unsupervised.attribute.NumericToNominal-R6

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute class {0,1}

@data
-0.561441,-0.033172,-0.336993,-1.883921,-0.327577,0
1.375448,0.624908,0.328332,3.663536,-1.464767,1
0.51009,-1.149522,2.291873,-0.352335,-1.372538,0
0.938646,-2.213297,-0.48562,-3.541421,-0.290719,0
0.031555,-0.699303,-0.203806,-1.546379,-0.111148,0
-0.171824,-1.953801,0.275872,-1.751047,-1.343129,0
-1.250823,-0.839963,0.573548,-1.218855,-0.669965,0
-0.275218,0.963567,-0.367463,1.857387,-0.915152,1
0.884858,-2.607865,0.289502,-2.219307,-0.99931,0
-0.833812,0.537375,-2.360186,1.408041,0.56655,1
2.521333,-0.870959,1.732859,-0.195652,-1.77204,0
1.185668,2.654782,0.394358,4.710375,0.681359,1
-1.866373,0.903438,-1.763128,-0.281513,0.15539,1
-2.058608,2.919335,-0.375685,0.079291,0.347468,1
0.037711,2.649571,-0.46723,3.215829,0.655999,1
-1.659348,-0.135203,-1.656003,-0.331965,-3.031701,1
3.543908,-0.925524,0.307054,-0.798561,-1.844629,0
0.05106,-0.70221,0.223953,-1.978986,-0.340788,0
-0.245717,1.610533,0.634435,2.292277,-1.19564,0
3.756774,-1.179169,2.696744,1.939952,-3.456475,0
-0.767904,-1.620879,1.190933,-1.496142,-0.424611,0
-0.742924,-2.645526,-2.152786,-3.13543,-1.689711,0
0.482501,-0.345958,2.613487,-0.078169,-0.905965,0
2.65461,-0.923961,3.923792,1.073276,-1.713293,0
1.5413,-2.846273,-0.08961,-2.733846,-1.013112,0
-0.274483,0.235568,-0.234359,1.816227,-1.325714,1
-2.440194,-0.994951,1.2128,-0.839916,-0.799127,0
2.830665,-1.61385,-0.510836,-1.062387,-2.279204,0
-1.323602,0.485836,0.387228,0.177372,-1.64721,1
-1.248236,-0.474491,-1.719248,-0.315876,-1.805656,1
2.466865,-0.890179,0.914231,-1.265161,-1.054671,0
-0.580982,0.8871,-2.136599,1.171156,-1.418362,1
-2.20825,-0.499678,-2.144178,-1.500609,-3.32805,1
-2.100914,0.22233,-1.066236,-0.536461,-0.301755,1
-0.761841,-3.218096,-0.949107,-4.877567,0.347757,0
1.785528,-1.141066,0.630537,-1.683342,-0.680927,0
-0.27541,0.800184,-1.315751,1.466768,-2.106188,1
-1.537088,-2.07456,-0.838416,-3.236045,-0.263547,0
-1.033739,0.620444,-2.230492,0.627229,-1.387068,1
3.895603,-1.169849,2.999368,0.823521,-1.604588,0
-2.512402,2.839945,-1.782424,-0.077936,0.963579,1
-0.303617,1.06875,-1.368413,2.503902,-0.279071,1
-2.23356,-0.724736,-2.279578,-1.273485,-2.054208,1
-1.720751,-1.263681,-0.026859,-1.917446,-0.39925,0
1.41242,-0.185954,1.042043,-0.107293,-1.139812,0
2.68288,0.154392,-1.351482,6.045507,-0.056303,1
1.329761,-1.997645,0.474925,-2.349438,-0.632298,0
0.107577,-0.801109,-1.228183,1.788546,-3.601317,1
0.109062,-0.1282,-0.700966,1.782193,-4.054318,1
-0.695671,0.402684,0.828895,0.153527,-0.252335,0
2.193758,-2.501222,-0.575072,-1.574766,-2.056852,0
2.748684,-3.70665,0.41336,-3.558649,-1.103423,0
-0.843186,-1.936779,0.858729,-1.866118,-1.267865,0
2.471752,-2.621302,-0.515661,-2.695407,-2.00748,0
-0.219192,0.330124,-0.849232,1.979616,-1.24441,1
-1.902245,0.908841,-3.115963,-0.524619,-0.202661,1
-0.403599,-1.182277,-2.106663,1.075504,-2.137634,1
-0.779736,1.211228,1.964864,0.764853,0.071057,0
-0.541354,0.675488,1.388211,0.422888,-0.675065,0
-2.166276,1.034298,-1.248424,-0.68926,-1.338157,1
1.181795,-1.463232,-0.885227,-2.646876,-0.995354,0
-0.676585,0.927046,-1.79951,1.506158,-0.409073,0
-0.06149,0.354341,1.028317,-0.253692,-0.198723,0
-0.718585,0.577592,-0.407718,1.578857,-0.982224,1
-1.247411,2.457129,-1.434742,1.167437,0.035498,1
0.028825,1.121945,-1.587223,2.942739,-1.183501,1
0.900569,0.62754,-2.184707,3.252154,-1.32077,1
