@relation art30-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute att0 numeric
@attribute att1 numeric
@attribute class {0,1,2}

@data
-0.301345,1.768022,2
1.226694,-0.092027,1
-1.168453,0.786493,2
0.007354,-1.962044,1
0.663753,-1.60884,1
0.618003,0.644707,0
-2.291879,-0.441947,2
2.067138,-0.33516,1
-0.736305,1.272869,2
2.609558,0.209842,1
-1.726247,0.206508,2
-0.097148,-0.053281,0
-3.187813,-1.431121,2
2.126669,2.112022,0
-1.583929,0.365104,2
-1.602029,0.351596,2
0.695187,0.932871,0
0.242401,-0.118144,0
0.325336,-2.269423,1
-2.506625,-0.703672,2
-1.297674,0.667856,2
1.247751,-0.605687,1
0.839927,-0.891881,1
0.810322,0.935102,0
1.610157,0.0761,1
-0.320783,-1.283938,1
1.697445,2.373531,0
2.007419,1.818256,0
0.765508,-0.476959,1
0.532761,0.787552,0
-2.146271,-0.289721,2
1.065621,0.306656,2
-2.228327,-0.393324,2
0.06733,2.145408,2
1.104132,1.563486,0
1.08961,1.181595,0
1.323419,1.562386,0
1.191631,1.472693,0
1.086367,-1.391126,1
0.340848,0.200158,0
2.341857,-1.447174,1
-3.484991,-1.749395,2
0.011207,2.11178,2
-1.478649,0.503085,2
-1.120328,0.867849,2
1.868653,-0.332196,1
0.738583,1.630425,0
0.265837,-1.776617,1
0.146834,-0.058222,0
1.053003,1.428375,0
-2.226268,-0.339235,2
1.494286,2.019587,0
-0.472254,1.573768,2
0.132026,-1.487121,1
0.474984,-1.532758,1
1.277829,0.868197,0
0.322045,-0.510556,0
2.399908,-0.07339,1
-0.300889,1.768088,2
0.498996,0.534223,0
0.56379,-1.702389,1
-1.592768,0.351124,2
1.297014,1.810431,1
0.743891,-1.334474,1
0.055536,2.153585,2
-1.456272,0.493833,2
0.999941,-0.945993,1
1.158432,-0.294235,1
1.252573,1.849562,0
0.875728,-1.021293,1
0.579758,0.301702,0
1.668183,1.7287,0
-1.256506,-2.035409,1
0.756134,-0.799926,1
0.951495,-1.302822,1
-1.450923,0.51154,2
0.757272,-0.207178,1
1.308391,-0.784965,1
0.205099,-1.827108,1
0.858879,1.050752,0
1.909278,4.228367,2
0.778769,-1.448135,1
0.229131,0.540699,0
1.275715,1.467631,0
-1.161918,0.802125,2
1.022783,0.169272,0
-1.106307,0.873195,2
1.083081,-1.560893,1
-1.164515,0.82773,2
0.987252,-1.146097,1
-0.144407,1.953627,2
1.269612,2.917488,0
0.849143,1.75612,0
1.294455,0.878786,0
-0.718242,1.289842,2
0.559187,2.701028,2
1.378987,1.132847,0
-2.980501,-1.232126,2
-0.15588,1.920814,2
2.26555,0.005762,1
