@relation art31-weka.filters.unsupervised.attribute.NumericToNominal-R6

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute class {0,1,2,3}

@data
-1.21388,-1.411859,1.750774,-0.698725,2.239915,2
4.317558,-0.11485,3.563053,-0.209822,1.251322,3
-0.404779,-1.825608,2.445592,-1.635926,0.813023,1
1.791109,0.206988,1.021671,-0.801546,0.179671,3
-2.761016,1.732809,-3.044416,3.377183,0.535054,0
-3.106532,2.558376,-3.215304,3.602181,-1.626635,0
0.757821,-1.230196,2.331321,1.206734,-0.008411,2
1.811806,0.620771,0.911307,0.0944,-1.120733,3
0.872526,1.910077,1.496536,-0.993584,-1.878508,3
0.11199,0.718796,-1.065694,3.024823,1.436369,2
-0.365269,3.676948,1.545773,-2.509111,-3.742787,3
1.982963,0.685574,1.723067,-3.320837,-0.164176,1
-2.142424,-0.320867,0.062889,-1.524917,1.926224,1
-3.294862,3.422426,-2.937433,3.457721,-2.242152,0
-2.165787,1.562927,-0.994149,4.174766,3.231348,0
-0.020978,1.097692,1.383439,-2.42342,-1.35526,3
2.806872,-0.434908,-0.341803,2.205842,1.138633,2
0.122526,-0.078056,-0.543898,-0.13106,2.917296,0
-1.432113,1.021226,-1.836378,0.538255,0.717921,0
1.394063,-1.683572,-0.031057,-0.880578,2.720606,2
3.017787,-0.167877,1.506209,0.877055,0.604561,3
0.287529,-1.647294,2.542524,-3.06659,-0.187687,1
0.423033,-0.181677,1.291251,-2.685317,0.08816,1
4.05458,-0.935476,1.779049,0.877688,1.380682,3
-3.365339,-2.169419,1.982273,-0.445326,2.997785,1
1.012983,-0.360431,-0.121968,1.58606,1.556171,2
-0.952226,0.96356,-1.023576,0.410484,-0.18202,0
1.48161,0.053975,1.06514,-0.172478,-0.378562,3
0.667423,-0.64071,2.650259,2.377747,-0.351659,2
-1.662101,2.1179,-0.832876,1.201566,-0.216765,0
-1.02222,0.626515,-0.972876,0.913244,0.058678,0
-1.3412,0.981763,0.27392,1.59058,2.104836,0
-1.781324,0.06033,-0.078843,-2.116477,1.331726,1
4.183385,-1.176232,2.264801,0.700714,1.675951,3
0.037714,-0.414402,1.59702,-1.448266,0.749381,1
0.868775,1.545003,-0.598255,0.236264,-1.787546,3
0.769151,-0.057534,0.18878,0.151147,3.238518,0
2.381605,-2.623427,1.978504,-1.092193,0.273807,2
-1.024551,1.09059,-1.622854,0.144302,-1.074563,0
1.736721,-1.473362,0.608693,-2.089043,4.683045,0
-0.792412,0.80936,-1.044509,-1.04207,-1.190109,3
