@relation art32-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute class {0,1,2}

@data
-3.14745,1.05944,0.400405,-1.085003,0.621012,0.30044,2
2.999637,-1.326001,-0.804059,-2.106608,1.908975,1.719974,0
2.400319,-2.123258,0.21537,-0.610023,2.458467,0.215234,0
-1.092428,-0.191234,0.954287,-1.145959,-0.505654,-0.186025,1
-1.290439,0.980316,0.298257,0.753978,-0.79607,-0.675258,1
0.406479,-2.510128,-1.320035,1.621011,3.509328,-0.697184,0
3.94011,-1.684623,1.965989,-1.494223,0.990578,-0.783338,0
-2.400138,-0.457662,0.533985,-1.455914,0.279744,0.73134,1
2.501776,-1.186178,-2.968279,0.71045,2.539175,0.519835,2
-1.361692,1.449268,1.758357,0.459971,-0.844141,-1.297553,1
-1.420271,0.07896,0.755742,-0.718399,-0.280174,-0.489965,1
-1.790953,-0.189039,-0.740863,-0.283757,-0.11297,1.070144,1
0.721599,-0.889942,-0.542365,-1.46116,0.931994,-1.621408,0
-0.550403,-0.092455,-0.284886,-1.144787,-2.215378,-1.880219,1
-1.211129,0.129879,-0.115805,-1.009407,-1.275423,-1.292664,1
-1.485608,0.062063,-0.782768,0.176261,-0.724429,-1.31123,1
2.730033,-2.159925,-1.947915,-3.061377,2.012516,2.655147,0
-2.055397,0.958262,1.479832,-0.703903,-0.28917,-0.46998,1
1.612136,-0.944778,-1.239482,-1.890179,1.352032,-0.532439,2
-0.426412,-2.831988,1.121047,-1.357507,1.629166,-1.236586,1
1.023719,-3.705753,0.509717,-0.72078,3.562306,1.612004,2
0.705155,0.288073,-2.382848,-0.973486,-0.149295,-0.306511,0
-0.482841,1.565052,0.986584,-0.594521,-1.577327,-0.698438,1
1.897165,-3.796945,-1.195726,0.969142,3.29062,-0.002866,2
-0.841132,1.859167,1.444441,-2.061802,0.407025,-2.415041,1
1.721839,-1.345331,-0.006554,-2.894104,1.306301,-0.386417,0
-0.820296,3.371195,3.545626,-4.531047,-1.321751,-2.926596,1
2.220522,-2.977503,-2.614542,-2.620591,3.292674,3.114608,0
-3.76333,-3.445861,2.335678,2.265747,4.015235,-2.125955,2
-0.574571,-3.798253,0.422336,0.547413,4.247106,-0.690722,0
2.49467,-3.066359,1.28479,-1.991065,2.126467,-1.041646,0
-0.3301,-1.095032,-3.713961,-1.398411,1.600573,0.398266,0
-0.793517,1.96992,0.856035,-1.990818,-1.850457,-0.796275,1
1.203521,-1.451192,-2.067211,-0.715383,1.42141,0.399567,0
-0.914619,-4.875814,0.609439,0.40687,3.176627,-0.106162,2
1.32441,-1.487858,-1.468497,-0.262198,2.781528,0.984278,0
2.984246,-1.806456,-0.533999,-2.783243,1.389696,1.773902,2
-1.524838,-4.49438,2.875534,1.651361,4.868028,-0.354119,2
-0.376146,2.78553,0.973132,-1.851157,-0.818284,-2.396095,1
-1.809972,1.277712,1.492496,0.303051,-1.499639,-0.630732,1
-0.96497,-3.078524,1.428567,-0.673736,2.439372,-0.458684,2
0.557609,0.842176,0.284832,-2.217543,-0.99079,-2.960802,0
1.22274,-0.902943,-1.547369,1.000012,0.931259,-0.873272,0
-0.883083,-0.374283,0.498783,-1.165519,-0.266495,-0.690097,1
-2.761154,-1.036661,-0.746627,1.732396,3.128472,-1.630132,2
-0.295203,2.804978,1.326976,-2.292152,-1.494069,-1.586524,1
0.2511,-3.298965,-3.254958,-0.68926,4.252053,1.875249,0
-1.29393,0.459206,-1.145769,-0.023208,-3.045973,-0.183462,1
1.966311,-2.727274,-1.884765,0.342736,3.314161,1.786177,0
1.014708,1.29386,-1.673008,-0.924395,-0.124722,-0.334739,0
-1.875267,-0.757764,2.652086,-0.243333,0.680519,-2.757175,2
2.396736,-1.624457,-0.294943,0.069369,1.763447,-0.231626,0
1.026913,-2.087432,-1.279004,-2.67593,0.93273,-0.979732,0
-4.05914,0.559453,3.833122,0.330495,-0.98158,-4.092411,2
-0.745752,0.688491,1.334762,-0.4346,-2.026172,1.31322,1
0.277088,-1.012956,0.610075,-1.966571,0.852444,-0.4063,2
-0.443038,0.280276,0.620852,-0.558002,-0.697821,1.277457,1
0.521702,-0.468521,-2.963385,-1.319578,0.294558,-0.126496,0
2.28437,-2.367023,2.466697,-1.551576,0.559592,-3.525353,0
-0.164791,3.429748,1.055061,-1.927976,-1.729916,-4.393077,1
1.453113,-0.71584,0.786307,-3.587933,0.652899,2.817273,2
1.232682,-2.376641,-1.084244,-0.057693,2.051412,0.770794,2
-1.306595,1.510431,2.041626,-1.391529,-0.730943,-1.708092,1
-1.843157,1.159701,1.860405,-3.016689,-0.006431,-0.0429,1
2.552582,-2.330161,0.787447,-2.107542,0.508942,-1.884595,0
1.045004,1.208963,-0.096623,2.517167,0.326722,-2.079789,0
-4.628987,2.918845,2.779032,-1.408166,-1.879441,-5.089958,2
-0.382556,2.668055,0.551289,0.230106,-3.853729,-3.226949,1
-0.826297,-2.862017,0.628945,-0.775202,3.482751,0.451398,2
-3.401415,-1.2468,1.402249,-0.761998,1.190465,0.031605,2
2.718799,-2.601285,-1.821043,-0.12189,3.774313,0.358892,2
1.06555,-4.104925,0.304453,0.03523,3.707454,-1.549002,0
2.903749,-2.243366,-0.12237,-2.070351,1.337811,0.057507,0
0.504429,0.464848,0.429784,-3.934892,-2.287924,-0.614687,2
0.311564,-0.498466,-0.892759,-3.082986,0.324261,-1.633214,0
-0.175928,-1.54413,0.449673,0.704493,0.780059,-4.592017,0
1.093921,-1.287058,-1.382828,1.588726,3.598422,0.99024,0
-0.551851,1.796513,0.660991,1.046143,-0.863729,-4.016883,1
1.65588,-1.220027,0.276775,-2.130488,0.852263,-1.367152,0
-0.958113,-0.86483,-1.148473,0.553103,-2.119511,-0.170584,1
0.300464,-1.873888,2.749097,-0.899976,1.340609,0.458962,2
-0.102216,-0.456253,-0.036876,-2.604105,-0.883689,-0.470705,2
-0.53253,-1.367389,-0.629516,-0.177632,2.048343,-0.810874,2
-1.662235,-1.71102,1.10808,-0.976295,1.367473,0.333376,2
-0.630526,2.344391,0.843643,-2.382841,-0.926275,-3.341187,1
0.855013,-1.423306,-2.18093,-1.435483,0.624889,-0.411087,0
1.205129,-1.27062,-1.864457,-0.363114,2.259797,0.705143,0
-2.267088,-1.742108,1.642917,0.193559,1.535796,0.527257,2
-1.50436,0.702486,0.392214,1.200373,-2.623363,-0.385605,1
0.349551,-0.88816,-1.38943,0.680311,0.999175,-1.741493,0
-1.210487,-1.152073,0.339256,-1.689217,0.933574,0.242678,2
-2.237196,1.64354,2.260634,-0.6539,0.510577,-1.230675,1
-1.00037,-4.54549,2.217532,0.519556,4.185236,0.669117,2
-0.454071,-1.026862,1.011111,-2.349638,-0.19366,-1.60725,2
-1.151143,-0.174452,0.040767,-1.129993,0.150572,-2.744694,2
-0.818508,0.029726,0.04769,-1.134972,-1.799914,-0.414217,1
0.48366,2.892164,0.727876,0.012012,-2.221628,-5.38513,1
-2.483018,3.126368,2.473289,-3.861802,0.352533,-3.667356,1
-1.293943,0.622317,2.420673,-1.895849,-2.245322,-3.157356,2
1.713496,-1.402396,-3.243956,-3.282082,1.714035,2.707372,0
