@relation art34-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2,3}

@data
0.207994,3.268969,1.092935,1.381677,-0.427145,1.602242,-1.638005,2.019744,0.434619,-2.191461,0
-2.686144,1.394728,-0.4561,-0.357927,1.658371,-2.248604,1.44051,-0.343055,-0.941124,1.61064,3
1.190747,0.82475,-0.427488,1.807899,-0.295778,2.267929,1.511731,2.190238,0.537026,1.501403,2
-0.967826,0.969376,-1.922587,-6.165957,-0.458622,0.972992,1.017804,-1.643775,1.96955,0.957337,3
-0.242761,-0.759468,-0.989849,-2.670864,-3.507812,-0.580763,0.071871,-0.264711,2.108293,-0.298125,3
0.30611,-3.804294,0.616741,0.612059,-1.522408,-1.722639,-0.750435,-2.16969,0.321496,-1.611981,3
1.594617,-5.105122,0.794554,0.062623,2.254011,0.433702,-2.002572,-4.323397,2.667992,5.273458,3
1.291437,0.531123,0.853485,0.778569,-1.342419,2.360159,-0.162694,0.484195,1.827239,1.202105,0
5.595046,0.337592,1.568951,0.01015,-1.87472,-0.754606,-0.389687,-1.529529,0.157862,3.225092,0
-0.37716,1.846425,3.477182,-1.952444,0.856505,1.990844,0.659071,1.455512,2.217679,-1.064894,0
-1.615465,-0.340178,-0.982842,2.537675,2.385351,3.999318,-3.121762,1.376884,2.217027,-2.782954,1
-0.459234,-2.04248,-3.947773,1.229406,-0.619185,0.55618,2.762502,0.205088,0.57043,2.744168,3
-0.714399,-2.412641,-1.45829,-0.874975,-2.995816,1.779028,1.81178,2.147481,0.141005,2.120908,3
-1.687264,-0.937294,-0.548852,-0.045763,2.67644,-5.267472,1.507481,-2.322484,3.360681,2.890816,3
-0.323982,-2.509781,1.124024,-1.070176,0.655869,-3.290876,-1.298039,-3.314921,3.108893,1.629384,3
-0.724957,-2.544781,2.871341,-1.497327,3.331281,2.063805,-2.412177,0.134508,-1.086219,-3.269935,0
0.907363,-0.823349,-0.615387,-1.073798,2.496647,4.280698,-3.044308,0.824976,1.553117,0.277726,0
-0.305162,0.937756,1.925859,-1.973008,-2.33084,2.050623,-1.135006,3.303286,1.028533,-1.136743,1
-1.996194,1.105527,2.791791,-0.200443,2.6202,1.008638,0.765899,4.298166,-0.955003,1.083042,2
0.889921,1.360517,-0.41577,-1.296434,5.53801,-0.035301,-1.34934,1.326851,-0.733077,0.825002,0
-0.469185,-0.263691,-0.479267,2.708108,-1.780179,-2.26544,1.664907,0.0641,-0.773618,-0.711128,3
-0.423911,-0.033029,1.607771,-0.22126,1.031263,1.625715,1.23559,3.224384,-1.672042,2.70951,2
0.211732,2.091628,2.13485,-2.896784,0.80493,1.986587,-0.373889,1.515828,1.216454,-1.89313,0
2.528133,-1.61387,1.142645,-1.085548,1.049413,-0.23258,-1.47501,0.23211,0.695938,1.754038,2
7.121517,-4.335412,2.331054,-2.243017,-1.493441,1.673328,-0.233122,-2.264377,4.107166,3.657487,2
0.826467,-1.929874,-1.220166,1.372286,-0.906341,0.826269,-1.120704,-2.849249,0.827969,0.280644,3
-1.096636,-3.745256,2.634417,-1.534099,-0.496144,1.615577,-0.147634,0.39132,-1.852269,2.747421,2
-0.159901,2.993904,0.642429,-1.01421,-1.061692,-2.07537,-1.734441,4.537181,1.266468,-2.330739,1
-1.514867,0.474341,-1.161926,-0.530908,1.750504,1.007885,-0.826343,-1.912364,2.710479,0.544799,1
-0.38625,-2.75919,-3.421998,1.653192,0.284983,0.114547,1.897129,-0.648973,2.496739,6.266078,3
2.554921,1.109604,2.776277,1.56351,1.364855,2.759481,-2.587664,-0.894228,3.34461,0.474177,2
-0.87253,-0.267551,-0.437985,-4.636041,0.531796,-2.868445,2.135151,-1.216016,2.596701,0.336466,3
1.385571,1.774842,0.185973,0.332808,1.586953,-0.652666,0.805879,2.99184,0.548497,1.446646,2
-0.707907,-0.772205,2.320244,-1.700875,-0.953639,3.452461,-0.715194,-0.279395,3.354751,-1.14919,0
0.20364,3.461696,1.548482,1.657659,-1.041863,2.138655,-0.540157,2.444733,0.498494,-1.330591,1
-0.18481,1.221955,-0.661367,-1.186586,2.582918,-0.268143,-4.004074,2.87912,2.615277,-2.045331,1
-1.413266,4.905696,1.885761,1.963089,-0.469641,0.400042,-0.971592,3.712328,0.040788,-1.154707,1
0.949875,0.312618,-1.267965,3.692171,4.788679,3.767374,0.593529,0.579467,-3.351557,0.388442,1
-2.438971,1.209073,-1.541501,-0.148802,0.58932,0.621434,-4.009425,-1.316642,-3.210591,2.178859,2
0.390607,1.60698,-1.605115,-0.383815,1.819883,-0.823208,-1.147846,1.281471,-0.438766,0.106861,1
-1.162465,4.934112,-1.733222,2.016129,-2.549815,-3.128047,0.843562,2.326852,-0.871823,-1.737196,1
0.02285,1.391389,-2.081855,2.748925,0.826524,-0.173562,-0.078242,4.554153,-0.182255,-2.988881,1
0.834375,1.23166,-1.95268,-2.407684,4.563877,3.228852,-3.765879,2.16643,0.570722,-1.213748,0
2.334833,3.098927,3.333116,3.473638,1.865766,1.221116,0.687577,3.244527,3.337189,-0.472735,2
-0.299198,2.114647,-1.963991,3.282573,-0.512192,-0.340542,-2.713825,-2.031543,-0.415589,-0.674139,2
-1.367362,0.024064,2.542223,0.043875,3.108152,3.328292,0.18251,2.865478,-0.07459,2.085165,2
-0.342765,1.005328,0.842695,-1.21527,1.596766,-0.682491,-1.698204,0.749899,0.802195,-3.336038,0
0.865963,1.383278,0.29002,-4.748526,1.163094,5.203877,-4.584352,3.609164,1.581874,-6.895504,0
-2.142829,4.679923,-0.50502,1.317144,1.895039,0.182919,-0.976306,2.770586,-1.57929,1.013949,2
-1.088379,2.285634,-0.927695,0.748618,1.380314,0.781724,-1.900905,-2.078856,2.696489,-1.020612,1
1.23064,-0.648219,-1.670781,-0.423599,2.179628,-0.3558,-0.765659,0.183411,1.602544,1.207964,0
2.801001,-1.196582,3.483878,0.480937,-0.397311,0.931773,-1.878918,-0.008197,2.168567,0.528906,2
-3.458466,-1.451409,-1.120386,-1.394443,0.826394,1.563397,-1.141153,-0.091145,1.584108,0.981117,1
0.224349,0.62508,-0.411204,-2.998774,2.669031,5.438292,-2.322441,1.274073,3.653468,0.725363,0
2.237231,1.190437,3.338394,0.256491,-3.234514,-0.83038,2.369753,-0.864195,1.715163,1.807639,0
-2.190644,3.887736,-3.126735,-0.099925,1.088876,-3.806191,1.514448,-0.857455,-1.064586,-1.095208,3
3.747739,1.246003,-1.603917,1.605165,0.851588,1.363342,1.18512,2.826668,2.461055,0.464621,2
-2.453576,0.286732,3.831709,-0.18945,1.251102,2.545916,-0.962574,1.426194,-1.028129,-4.633015,0
0.329638,1.758499,1.751151,-3.342562,2.644821,6.417673,-3.296297,2.748788,0.791292,-2.693744,0
-0.115795,0.610821,0.621373,-0.486594,-0.798944,-0.054613,-0.191296,-0.48541,2.557519,-0.676189,0
-0.300737,-0.959018,-3.189905,-1.753592,2.129838,-0.309688,-0.273763,-0.52455,0.765295,1.044055,1
-2.121002,2.020846,-2.538251,-0.028918,0.053042,-1.582022,3.043009,2.010768,-0.362814,2.704089,3
-6.735059,1.599178,0.475731,-2.66114,0.854121,-3.904992,-0.379553,-1.572101,1.617179,5.902216,3
0.324587,0.784859,-0.285811,1.649842,0.394988,1.862733,-0.15642,0.6811,-0.922048,-0.877623,1
-3.316783,-2.777806,-1.222757,2.010431,-2.037348,-2.192513,3.961505,1.413311,1.65459,5.393377,3
-0.973302,1.963248,-0.907773,2.103828,-0.654334,-2.738534,-4.235897,-1.564507,-1.574759,-0.408549,2
0.107648,2.386247,-0.782147,1.948264,2.239743,4.28937,-1.59234,0.995867,0.138389,1.582343,2
-1.832849,1.758554,-1.320259,-0.159745,-1.383689,-1.204629,0.145456,1.041179,0.871697,-0.675511,1
1.165516,1.36605,2.794981,0.925607,1.999868,1.647616,-3.350076,-0.399341,2.991845,0.121969,2
1.627698,0.550989,2.725744,0.190478,-0.370502,1.261458,-0.693309,0.459326,-0.153942,-0.548807,0
-0.931351,3.216757,0.043821,-0.869174,-1.318619,-3.031444,-0.914503,4.404888,-0.150265,-1.600903,1
3.293321,-0.963855,3.728744,0.944459,1.781939,3.283594,-3.417797,-0.893613,3.036362,0.070859,2
1.574425,1.528137,0.268191,3.846368,0.314545,1.769009,1.024187,1.030473,3.509609,-0.869091,2
-0.200654,-0.819578,1.293989,0.561807,1.170438,6.206394,-0.524774,0.619726,0.298974,-0.236627,1
-5.549166,1.886919,-0.285374,-2.448476,-0.333505,-1.801705,1.424318,-1.283704,0.882133,3.689498,3
1.279292,1.901304,1.936035,0.915949,2.896516,-1.375713,0.108194,1.562841,-1.176968,-0.069601,0
