@relation art35-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute class {0,1}

@data
-1.664037,2.046938,1.089515,-4.145052,0
-0.627867,0.85458,-1.538227,-0.950092,1
0.483688,1.474106,0.568941,-1.789437,0
1.707559,0.000012,-0.923387,-1.20185,0
1.36097,1.680588,-0.912291,0.127864,0
-0.825382,-0.389266,2.049541,-1.689959,1
-1.970236,1.146098,-0.058357,0.280606,1
0.097173,2.178137,0.933132,-2.337691,1
-0.675683,0.709424,1.567871,0.115924,1
-1.394389,2.829519,1.400538,0.383331,1
-0.254799,3.680244,1.657373,-0.765651,1
1.496937,-0.388067,-3.199464,0.500421,0
0.742199,1.247143,-0.816694,-0.49216,0
0.07121,2.457381,-2.777252,-0.798044,1
0.660389,0.494776,-1.049791,-0.738408,0
-1.973025,0.926808,-0.924877,-0.291249,1
0.173767,1.647128,-0.029369,-1.048122,0
-0.676647,-0.063672,2.400056,-1.81887,1
-0.124385,2.111909,-1.670836,-2.806067,0
0.456145,3.24332,-0.315673,-1.509138,1
-0.403264,3.273145,0.008699,-1.375514,1
-4.3804,-2.388056,2.957719,1.470021,1
-1.40401,0.407908,1.280226,-0.287261,1
-0.313289,0.828698,-1.984855,0.074674,0
-0.128078,2.395151,1.399186,-1.115387,0
-1.076816,0.434089,0.762456,-1.006543,1
2.263309,-0.829147,-5.216921,-1.671101,0
-0.773321,2.403453,-0.501389,-1.15738,1
-2.138226,-0.675854,0.505163,-0.691844,1
-0.656718,1.369121,-0.61908,-1.699687,1
1.004618,1.034396,-0.267148,-1.019204,0
1.672177,1.938911,0.859495,-3.195023,0
-1.064842,-1.583468,1.136187,-0.589155,1
0.779587,0.658799,-0.36254,-0.529744,0
1.811372,0.287,-3.461241,1.038341,0
2.990427,-0.469829,-4.131421,-0.241779,0
-2.095926,-0.541934,1.210091,-0.614025,1
-2.070385,-0.229206,-0.142573,-1.354637,1
-1.615499,-0.968662,2.15693,-1.585684,1
-2.190014,0.185676,4.295087,0.068392,1
-1.509074,0.773499,1.198927,-0.87696,0
1.783145,-0.049304,-2.395617,0.34049,0
0.411585,1.20123,-1.570873,-0.326611,0
-0.094801,0.149005,0.589626,-1.872161,1
0.735442,0.771187,-2.473891,-1.367711,0
0.875798,1.912227,-0.327308,-2.072948,0
0.484494,1.926215,-0.419834,0.171787,0
1.473977,2.032282,1.759537,-2.958606,1
2.28162,-0.62144,-2.725903,0.583185,0
0.917371,-0.232338,-2.399964,-0.001914,0
0.993097,2.379171,1.762807,-3.997295,0
-1.539346,1.72108,-0.414188,-1.217381,1
0.047794,2.109952,0.828575,-2.154457,0
0.625332,0.972828,-3.364352,1.885586,0
0.190251,-0.371455,3.855022,-2.396247,1
-1.896148,-2.12911,-0.06771,-1.358525,1
0.329582,1.119457,-0.340114,-2.008091,0
-2.023924,0.855496,1.201605,0.463724,1
0.880753,0.096605,-1.701724,-1.218476,0
-1.033164,1.975529,2.481294,-0.913851,1
0.618885,2.944047,-2.227709,-1.102836,1
0.368428,1.543538,-2.43034,-0.857618,0
-0.718637,2.57147,0.969851,-0.40782,1
-2.83643,0.016543,0.398119,-1.160051,1
-1.712977,-0.442358,2.648773,-1.079015,1
0.183747,1.915727,-0.173521,-1.832698,0
1.767392,-0.370916,-2.181573,-0.215926,0
1.246843,0.232006,-1.890898,0.03703,0
-2.835959,0.468682,2.364839,0.464217,1
1.690792,-0.759042,-3.404687,0.10728,0
0.639075,1.351179,-1.588338,-1.199216,0
-2.837182,0.896027,2.361624,0.466199,1
-0.090678,2.110709,0.312929,-1.035108,1
3.080398,0.294346,-3.184645,0.885651,0
1.266536,-0.213965,-1.361715,0.104769,0
-1.903689,0.14231,2.392136,-0.558772,1
2.566735,0.762936,-1.262176,-0.538832,0
-1.213835,-0.175933,2.80405,-1.576716,1
1.877063,0.661306,-1.755632,-0.809716,0
0.948466,2.182544,0.560101,0.283378,0
1.10927,1.546298,0.01121,-0.408179,0
-0.869374,3.071461,-0.900042,-0.653962,1
0.815069,2.040915,1.251625,-2.667696,0
1.143463,2.214569,2.233691,-2.577749,0
-2.327388,2.754128,-2.465921,2.076828,1
-0.932553,-0.136183,1.088041,-1.96943,1
0.18889,0.695755,-2.877541,0.0578,0
2.311702,0.361012,-0.675538,0.453121,0
1.374007,-0.612609,-4.221646,0.537988,0
-2.097891,-0.143439,0.7591,0.261194,1
-2.603419,-0.812942,2.02138,-0.09363,1
-0.776865,0.888629,1.480978,-1.117028,1
-1.353649,0.77885,0.362945,1.114277,1
2.343877,0.823664,-2.173994,-0.147212,0
0.703287,0.763675,-0.701275,-1.906976,0
0.958819,-0.255527,-2.410933,0.229527,0
-1.413184,-0.281992,0.905377,-1.337934,1
0.164381,2.948243,-1.492086,-1.691314,1
-1.929108,-0.406112,2.909113,-0.631818,1
0.59131,0.339194,-0.687503,-1.813711,0
