@relation art37-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute class {0,1,2}

@data
0.532026,-0.177052,2.369719,1
0.053887,-0.389088,0.945981,2
0.125174,-0.554568,2.407428,1
-1.634051,-0.465306,-1.076933,0
-0.520286,-3.599655,-1.693188,0
-1.274046,-0.062919,0.805073,0
-1.25043,-1.499305,1.85561,2
-2.256304,-1.680786,1.128074,2
0.399511,0.23342,2.549379,1
-2.349122,0.924919,-0.50314,0
-2.813453,0.558881,-0.104884,0
-0.445021,-0.737905,0.330161,0
1.860826,-3.413632,-1.306191,1
-0.48271,-2.934162,0.938109,1
1.068626,-0.89416,1.284694,1
-0.894258,-0.489822,1.146109,2
-0.495413,-1.336381,-2.115217,0
0.055956,0.119347,3.216894,1
-1.266387,-0.647151,-0.91462,0
-1.385904,0.619174,0.669849,0
-2.735175,-2.674475,2.433645,2
-1.653299,-0.900621,1.230457,0
-0.864807,-0.413978,-0.366481,0
0.304362,-0.898889,2.831046,1
-0.633098,-2.26251,-2.067006,0
0.948713,0.217697,0.053425,1
1.165574,-1.821947,-0.914206,1
-1.027581,-0.310682,1.28944,2
-1.191488,-1.765937,-1.394789,0
-1.880067,-3.251852,1.861273,2
-1.168071,-0.452307,0.477939,2
-0.401671,-0.944373,-2.079234,0
0.262549,-2.440494,-0.34804,0
1.587815,-2.757369,-0.748296,1
-2.436282,0.98159,-0.390515,0
0.406917,-1.210551,1.500327,1
1.302563,-1.070244,2.130522,1
-0.429186,-0.507842,-2.906853,0
1.039588,-2.662455,0.747545,1
-1.060619,-0.423716,0.29792,2
0.37959,0.000637,-0.659348,2
-0.943716,-0.851199,1.525299,2
-1.119565,-2.770045,1.192024,2
1.017178,0.004284,2.195092,1
-1.647647,-2.381281,1.888544,2
1.897242,-0.418416,-0.652236,1
-2.036346,0.23985,-1.300814,0
-0.207341,-0.107405,1.14275,2
0.860002,-0.288126,0.795727,1
0.72326,-1.285496,1.82216,1
1.074314,-1.037042,1.17242,1
1.535873,-2.340579,0.334418,1
1.463797,1.422773,2.506237,1
-0.154947,-1.18678,-0.527684,0
-1.406174,-0.712416,-0.075059,0
-0.124077,-0.45407,1.424947,1
-1.056986,-0.269328,-2.360913,0
-1.46246,-1.817094,-1.65463,0
0.033669,-1.448087,-0.26058,2
-1.678939,-1.562277,1.571055,2
1.05055,-0.685335,0.996045,1
-1.358128,0.070318,-0.652876,0
-0.757482,-0.283406,0.824853,2
-0.845818,-0.344767,0.872368,2
0.670407,-0.31263,0.553631,1
1.07387,-0.487599,2.425503,1
0.709606,-0.520136,-0.467825,2
-0.787559,-1.232691,1.038861,2
-2.226258,0.245414,-1.771175,0
-2.292934,0.7648,-1.668013,0
-0.673144,-0.835235,-1.645266,0
1.661579,0.236334,2.110634,1
-1.738545,-0.976462,-1.814288,0
1.034479,-1.087322,1.096331,1
1.587372,0.247321,0.09742,2
-1.453243,-1.141834,1.114804,2
-0.755541,-0.690435,-0.322868,0
-0.784398,-1.15732,0.018795,2
-1.993029,-0.1712,0.316149,0
-1.408594,-1.13208,0.475007,2
1.296878,-0.879659,2.974215,1
-0.897777,-1.040164,1.095944,2
-0.947249,-1.983032,1.119729,2
-0.242131,-0.015021,3.74368,1
-0.183966,-0.305185,0.644275,2
1.101246,-0.935407,1.309297,1
-0.905716,-1.108685,1.558823,2
0.727823,-0.534796,2.565585,1
-1.302483,-2.232144,-1.367742,0
0.144512,-1.214315,0.229183,0
-0.952933,0.348517,1.202979,2
-0.283528,-0.521936,-1.465668,0
0.099034,-0.171074,-0.50837,2
2.314001,-0.140863,2.185858,1
-1.505913,-0.010976,-1.045479,0
-1.041668,0.067908,1.141397,2
0.152897,-1.165548,0.481664,2
0.422501,-0.562645,0.371864,2
-2.158998,0.499012,-1.147565,0
1.43534,-0.993904,1.550416,1
