@relation art41-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute class {0,1,2,3}

@data
0.808147,1.434675,2.105942,1
0.13682,-0.762545,-0.559438,3
0.679173,-1.948177,0.831729,0
0.050691,-0.014962,-0.102782,3
1.863346,-2.691229,0.230543,0
1.930845,1.031756,0.109841,1
1.646537,1.173154,0.841304,1
1.046952,0.873684,0.550076,1
0.967883,1.943821,-1.108168,2
-0.983668,2.184586,-0.821352,2
1.190298,1.574434,-1.00237,1
2.984528,0.406142,-1.815394,2
3.250675,-0.839504,-1.738388,2
0.076146,0.248,-1.666048,0
-1.041296,0.468318,-1.905025,3
2.444225,0.121154,-0.993467,2
-1.720883,4.247547,0.324081,2
-1.94515,-1.605053,-0.701487,3
0.701947,0.745707,2.301419,1
0.104287,0.077267,2.37055,1
0.500797,-0.240244,1.636861,1
-1.237613,-0.513573,-0.660211,3
-1.676942,-2.730118,-1.03403,3
0.37223,-0.565002,-0.348888,3
0.56324,0.910299,0.927913,1
0.576321,-0.353929,-2.180847,0
0.501662,1.858953,-0.848217,2
1.222491,1.587163,-1.13658,2
1.022294,-0.105293,-1.332707,2
0.120038,0.836503,0.152881,1
0.179693,0.429151,-1.877204,0
0.077308,-1.881514,-0.149182,3
-2.686762,-1.451052,-2.790139,3
-1.673688,-1.182757,-1.667129,3
1.231057,-0.230544,-1.312211,0
-0.200597,3.32765,0.478659,2
1.174163,-0.240618,-2.348152,2
-0.208233,-0.372928,0.676971,0
0.72263,0.867732,0.448799,1
-1.951588,-0.938142,-1.130589,3
0.719863,0.590355,1.240456,1
1.342764,-2.145515,0.569332,0
0.678592,0.158848,-1.612261,0
-2.45711,-1.985824,-3.062518,3
0.435704,-0.74316,0.062479,0
-0.063674,-0.701571,-0.753196,3
1.726863,1.415474,0.498895,1
0.721891,-0.880346,0.171515,0
3.142566,-3.875037,0.158417,0
0.465806,0.077121,-2.52753,0
1.639883,-1.595889,-1.035473,0
1.186744,0.773847,1.635851,1
0.048183,0.378215,-1.283429,2
1.080833,-0.475269,-1.639034,0
-0.895256,1.85179,0.082039,2
-0.719046,-0.537435,-0.197056,3
1.388449,1.481887,-0.890473,1
-1.518141,-0.450096,-1.904531,3
-0.745349,-1.040169,-0.614358,3
1.27299,-0.452904,-0.775906,0
-1.605561,3.186135,0.517753,2
-0.704248,-0.561491,2.956916,1
1.162721,1.06987,-0.061814,1
-3.21977,-2.655598,-2.328679,3
3.172812,-2.058259,-1.978803,2
-1.441516,-0.309925,-0.56206,3
1.539271,-1.612552,-1.149714,0
0.392171,-0.197164,-0.103421,0
0.77094,0.485564,-0.660015,2
-0.087542,-0.183799,-1.038092,3
0.917476,1.536053,0.831388,1
1.472167,-0.98918,-1.095086,0
1.259924,1.306843,1.59394,1
1.947194,1.678371,1.189712,1
1.774939,-2.074879,-0.01333,0
1.216601,0.480345,-0.944928,2
0.568881,-1.014027,-0.495115,3
0.774782,-0.897648,-0.525635,0
2.619818,-2.323217,-2.098989,0
0.210613,1.41436,-0.844774,2
0.462392,0.57572,1.708326,1
1.127504,-0.147948,-1.554359,2
0.381845,-0.59448,-1.578175,0
-1.91971,-1.017918,-1.071164,3
0.886481,-0.137334,-0.609286,0
0.598606,0.109419,-1.101214,2
1.715884,-0.01353,-0.846254,2
1.823645,-0.479442,-1.262131,2
0.970754,1.41509,-0.495255,1
-1.206788,-0.976446,-0.849172,3
-0.662521,-0.012799,-0.952433,3
2.085928,-1.154984,-1.634637,2
1.257911,0.980909,0.065634,1
2.598641,-3.326977,0.333207,0
0.942217,0.743151,0.267325,1
-2.073089,-2.028699,-2.17589,3
-0.276319,0.137914,-1.476428,3
1.517916,1.215323,-0.454206,1
1.578676,0.845356,-0.201266,2
1.902103,2.764314,-1.401431,2
