@relation art42-weka.filters.unsupervised.attribute.NumericToNominal-R6

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute class {0,1,2}

@data
1.320296,1.331266,0.153713,0.23604,0.939145,2
0.919247,-1.681145,-0.513962,-0.234834,-0.181601,0
1.217988,-1.981578,-3.19586,-0.9677,2.234857,0
-2.364885,-1.070163,-1.691471,1.151121,0.951976,1
1.54235,-2.289684,-0.461624,-1.500619,2.843189,0
2.287175,2.412305,2.958474,-0.678013,1.798291,2
0.477069,-1.870589,-1.414044,1.106696,-0.991903,0
0.452161,1.228274,0.1133,-0.120629,1.010762,2
1.616829,-0.063532,0.542715,-2.326914,1.463943,0
0.409836,-0.775419,-0.566055,-1.158028,2.048896,1
0.902473,-1.523069,-0.012385,-0.128474,0.356223,0
-0.940329,-1.324519,0.351941,1.256209,1.647792,1
-1.352104,-0.198486,-0.474468,1.992394,2.250646,1
0.956427,-4.537553,-1.68547,0.784191,2.740244,0
-1.425399,-0.500479,-1.657199,2.381512,-0.353306,1
1.17006,2.211075,0.738,0.656644,0.415088,2
1.354367,-3.179927,-1.25992,0.113086,1.3214,0
-3.035611,-1.51915,-1.139596,-0.42816,0.478353,1
1.921535,-0.562091,-3.910152,-3.767788,3.921346,0
0.968234,0.244025,0.622015,1.607666,0.88227,2
-1.348816,-1.992019,-2.52675,0.229054,1.184421,1
1.91616,3.421845,2.505565,-0.380551,0.685297,2
1.01446,1.383961,1.125143,-0.285682,1.310356,2
1.847379,1.466521,0.414999,0.008939,0.661693,2
1.135294,0.743462,1.059637,0.097396,1.793997,2
-3.440144,-0.925104,-3.349442,3.820179,-0.272272,1
0.741501,3.947925,0.438843,-1.150216,-0.225172,2
0.848938,0.208551,-0.226662,-1.247257,0.334804,0
-0.1537,0.015203,-0.338161,0.639378,2.216214,1
1.09545,0.239793,0.388927,1.358784,2.835267,1
-0.735239,-1.301461,-1.726219,-1.809444,1.585389,1
0.152554,0.376106,1.621568,2.23385,1.639597,2
1.088551,-1.268271,-0.497701,-0.597065,0.870315,0
1.457051,-1.843508,-1.271743,-0.782366,0.941416,0
0.74168,-0.946624,0.871624,1.577315,1.424949,1
1.071007,-4.153135,1.146667,1.279926,1.368972,0
0.457427,3.654166,2.802234,-0.63436,1.745547,2
0.290446,0.598851,1.928962,1.469488,2.046252,2
0.446735,-1.880305,-0.509336,0.02872,0.990236,0
-3.088034,-0.748308,-2.895181,4.931402,0.02867,1
2.999613,4.184959,1.095939,-0.938954,-1.099697,2
-1.287442,-1.010084,-1.878871,2.783724,0.103407,1
0.736074,-0.487032,-2.02035,-0.918954,0.589143,0
-0.484267,-1.464734,-0.347445,2.26816,2.009837,1
1.916441,1.251349,1.301945,0.755526,0.473731,2
-0.935348,-1.375423,-1.03871,0.357379,3.360046,1
0.6845,-0.122305,1.749467,3.860968,0.962162,2
1.855901,-0.579497,1.777974,-0.508374,3.78016,1
-0.708085,-0.432126,-0.968056,2.044819,0.290534,1
-1.438536,-1.033124,-3.329658,0.831502,-1.854601,1
1.890853,-1.509835,-5.058328,-2.725175,3.521546,0
-0.389404,-0.911177,-0.169524,1.041184,5.059255,1
1.497078,-0.780571,-2.623157,-2.524037,2.346727,0
3.564268,1.497831,0.899865,-0.577671,-0.250184,2
1.703272,-1.696608,-3.071631,-1.784266,1.963281,0
1.292285,-0.311506,-0.29309,1.402161,0.580844,2
0.421868,1.602048,2.653904,1.857051,1.214,2
-1.064976,-1.161134,0.466329,1.504781,-0.290076,1
1.904908,1.387933,0.312491,0.060877,0.479722,2
-0.299063,0.071796,-2.158832,3.639395,-0.422279,1
0.763832,-2.150245,-0.688365,0.489713,-0.239847,0
-0.413322,-0.656479,-1.14,-0.241168,0.303574,1
-1.372238,-0.582621,1.071936,-0.110537,1.358958,1
1.184242,-2.05513,0.84049,-0.22638,0.68747,0
1.466429,1.224463,0.363739,0.785672,0.548651,2
1.338431,0.337024,0.141987,0.971468,0.456345,2
0.908321,-2.470293,-1.087773,-0.307242,1.973735,0
2.860898,2.981565,1.589123,0.501949,-1.071298,2
-3.553821,-1.936061,-1.873111,1.25003,1.175321,1
0.103945,3.153,0.358518,-2.256671,1.851012,2
-0.321452,-0.872238,-0.494266,0.812456,0.824809,1
-0.541226,-0.343001,-0.305462,2.163493,1.1501,1
1.058405,-1.679583,-2.582948,-0.537294,1.196238,0
1.503902,-0.801628,-1.363563,-1.523504,1.240992,0
1.130031,-3.693079,-1.102197,0.408238,1.417673,0
2.333767,0.335318,0.186039,0.795396,0.112905,2
-0.30802,1.196942,0.708784,0.469784,1.704793,2
0.165607,0.645654,1.891937,2.775749,1.32782,2
0.195335,3.094716,3.059281,0.034061,2.42107,2
2.840945,-0.009814,-1.781434,0.666517,-0.981489,2
1.325429,-0.477511,-0.029671,-2.274868,2.162176,0
1.021319,-0.790209,-1.672443,-0.971143,-0.080366,0
1.142122,-0.417783,-0.588804,-1.595925,1.228176,0
0.127612,2.119832,3.627992,1.02551,2.41506,2
-1.431203,-1.2251,-3.194541,2.114589,-0.663591,1
-1.335971,-0.894468,0.070513,1.786382,1.921522,1
-1.81146,-0.981421,-0.791232,2.789524,2.893415,1
-3.395423,-2.002676,-1.172684,2.738568,1.711187,1
2.502757,4.969809,2.361828,-3.176352,1.089464,2
-2.733446,-2.274443,-2.627768,0.765211,0.614733,1
1.35318,-0.885855,-1.544701,-1.460137,0.953741,0
0.636695,-0.400716,0.492197,0.309722,-1.915357,0
0.960452,-1.886995,-2.14158,-0.07054,0.410682,0
1.86448,1.540309,0.281089,1.536434,-0.831986,2
0.674351,-0.889824,-2.011962,-1.331827,2.097522,0
0.620885,1.291656,-0.126345,-1.402957,-0.983967,0
0.78116,-0.151386,-1.83672,-1.274217,0.990674,0
1.925506,-0.709324,1.24882,1.098849,1.519163,2
0.880738,-1.456104,-1.20022,-1.561751,2.553201,0
-0.830455,-1.42606,0.481707,-2.535228,3.160587,1
