@relation art43-weka.filters.unsupervised.attribute.NumericToNominal-R9

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {0,1,2,3}

@data
0.897599,-1.994291,-1.149048,-0.29,-0.678928,2.882927,1.500842,-1.860738,3
-1.035578,-2.503645,-1.038021,1.761593,-0.731626,-1.069484,-1.096425,0.360616,2
-1.656643,-2.843055,0.540572,-1.967667,-1.756812,0.371593,1.758302,-0.66709,0
-0.212848,-2.893244,-3.295551,1.275848,-0.504453,-0.937299,1.863823,-3.094042,0
-1.150936,0.301016,3.632288,-1.776583,0.221816,1.184795,1.671042,1.090539,3
-1.060724,3.828485,-2.066311,-0.805443,-0.292638,-1.97932,-1.155528,-0.160087,0
-0.327301,-2.57653,-1.147721,1.863768,0.363696,-0.438069,-0.727786,1.704077,2
1.880731,1.392563,-2.492156,-1.070717,0.511424,-4.181026,0.240695,-0.661466,2
0.871544,-0.635717,1.449735,-2.360843,0.512519,-4.464305,1.145983,2.096083,3
5.129151,0.49868,-3.095321,-0.11094,0.948677,-2.05524,-3.597245,0.310349,2
-1.177781,0.556744,1.376231,0.665071,-3.052583,-1.671821,1.671609,-1.718231,3
0.748047,0.870637,-1.695224,1.94579,-0.5866,0.499341,-0.460451,0.535787,1
-0.960419,-4.042248,0.890261,-1.585543,-2.898067,-0.049842,2.472686,-1.051598,0
-3.082845,-2.032348,0.268478,-0.357605,-3.587383,0.254904,-1.707639,-4.629254,3
-0.070171,-0.286225,-1.415734,0.25617,0.659211,-2.390357,0.072607,-0.76901,2
0.941389,2.204458,-3.410166,0.251833,-1.821223,-1.23734,-1.267844,0.319914,0
-0.045109,-2.12024,1.479628,-2.332473,0.002499,-1.151827,1.414928,0.415435,3
-0.964183,-0.615517,3.008996,-1.864992,-1.206574,0.640236,1.90793,0.681018,3
5.455476,3.316658,-2.192937,1.170042,3.010965,-0.923008,-0.333295,-2.151743,1
-1.576392,0.552512,2.050437,0.899921,-1.409101,1.431737,0.958936,-1.823299,3
-0.146543,1.730853,-0.063131,3.099917,-0.913773,-1.44005,0.011849,1.064136,2
-0.709811,0.673079,-0.69396,0.450149,-0.916278,-1.466071,0.881372,0.391656,2
3.005106,0.093522,-3.057268,0.448364,1.953421,-0.966485,-1.421234,1.715112,2
-3.142685,-2.413327,-0.511459,-1.905277,0.098456,-2.14896,1.772726,-1.657863,0
-1.401301,-1.135668,-1.286278,-1.045367,-2.302021,-1.42683,1.031511,-0.041718,0
