@relation art44-weka.filters.unsupervised.attribute.NumericToNominal-R10

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1,2}

@data
1.439365,-0.193104,2.889481,-0.636556,-2.548154,-1.540412,1.578645,-1.336989,1.343233,1
0.148707,-0.142006,5.285463,4.791943,-2.629116,-6.808727,4.323571,-2.977413,2.976775,1
2.617849,4.709083,-1.108421,0.189516,-0.166348,0.738212,-2.340015,0.788708,-0.862389,2
0.040784,-0.277121,-2.161318,0.214386,-0.974455,-0.814213,0.584596,-0.914233,1.220167,0
-0.134706,-2.434335,-2.091644,4.413554,-0.825443,1.166631,-0.108183,-4.968113,2.000755,0
-0.864505,3.806959,-0.421717,3.729003,-1.115249,3.896156,1.621407,1.197917,1.228207,2
-1.502879,0.358814,-0.088669,0.155929,1.162941,-0.45969,0.048758,-0.492566,1.16884,2
-1.383873,0.736196,-2.263892,0.52885,-2.100228,0.262317,0.438103,0.14816,-1.390916,2
-1.688834,1.608059,0.54178,2.800935,-1.856762,-2.238268,3.226746,-0.723333,2.26349,1
-1.761608,0.342341,-0.60038,3.41075,-1.390575,0.440568,-0.112142,-0.64528,0.713272,2
0.751657,-3.719189,0.303027,0.056732,2.420642,-2.555621,1.043236,2.290875,2.563296,1
1.259922,1.662267,-1.069966,2.093102,-2.404574,-0.039068,-0.779563,0.529358,0.054322,2
-3.227355,-0.884044,-0.970869,2.868739,2.666838,0.18196,0.670814,-2.359372,0.357123,0
2.767299,-3.714231,4.841855,1.217164,0.300801,-2.390913,-0.116455,-0.460656,3.479519,1
-0.754412,0.996607,-0.459066,0.932846,-0.593501,0.531377,-0.011309,-0.148934,-0.44336,2
-0.832098,1.302181,-0.981127,0.807929,-1.133414,1.62234,0.277751,-0.214724,-0.329413,2
-0.42477,-2.58953,-0.379865,-0.84544,-0.42773,-2.989583,2.029557,-0.026173,0.869201,1
-2.740217,0.710146,-0.563157,-2.174581,3.411191,-1.483855,1.796753,2.018155,-0.590467,0
-3.506051,0.556725,1.618583,-3.482906,2.024974,-1.917181,0.771869,-0.366244,-2.480299,0
