@relation art46-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute class {0,1,2}

@data
-0.257799,1.086927,0.103895,-2.733576,0
0.804854,-0.527513,-1.232405,0.961025,1
1.203607,-0.373766,-2.371599,0.498323,1
0.876185,2.169728,-0.550665,2.029013,2
0.87751,0.275599,-1.26452,-0.343063,2
0.091612,0.840913,0.438335,-3.28487,0
0.309774,0.644498,0.264364,0.191681,2
2.375723,-1.101301,-3.101203,-0.322125,1
1.927503,1.906001,-2.848634,3.906553,2
-0.26423,2.84751,-0.037367,1.310625,2
1.184915,1.746068,-2.599169,1.381033,2
-1.940484,1.035711,-1.709053,-0.09919,0
2.017683,0.912844,-2.644958,2.03575,2
0.551527,-0.684098,-0.428868,0.043139,1
-1.002783,1.466315,0.304281,-2.944538,0
-0.545252,-0.999322,1.472217,1.843591,1
1.752213,-1.43583,-1.01687,-0.07712,1
-1.879919,1.594486,-0.095716,-2.681043,0
0.371195,1.542653,0.238746,1.142824,2
0.310478,-0.936939,0.224457,1.954922,1
-0.371808,1.589591,-0.040314,-2.082609,0
-0.957619,1.043981,-1.174588,-0.630921,0
1.319217,-0.908443,-1.665934,-0.155424,1
0.64213,-1.627473,1.067122,0.90223,1
-1.122078,0.806202,-2.319759,1.190357,0
-0.119692,-0.034306,-0.753462,2.530354,1
1.721631,-2.047768,-0.027322,-0.691778,1
0.314595,1.62876,-0.277285,1.440127,2
-2.091963,1.762222,-1.654455,0.330611,0
-1.326495,1.245775,-2.10164,1.076332,0
0.28014,1.274727,-0.322867,0.548716,2
-1.037058,0.857171,-1.352056,-0.469847,0
1.01236,0.902282,-0.127759,0.188531,2
1.245065,0.461836,-1.595688,0.326664,2
-1.097811,1.273477,-1.512953,0.003494,0
-0.949721,0.120301,-0.105163,1.584305,1
0.933194,-1.194035,-0.291881,1.342272,1
0.797091,3.568006,-2.939029,3.823617,2
0.210876,2.920666,-1.578725,3.617317,2
-2.239978,0.960976,-0.807017,-1.98264,0
-0.212317,0.232658,-0.96507,-1.33131,0
0.672368,0.879931,-0.74976,-0.584453,2
1.636812,-0.593577,-1.74306,-0.580369,2
1.071053,2.515306,-2.573861,2.173829,2
1.413932,1.452408,-1.189917,0.822146,2
1.353128,-0.949156,-1.49505,1.455012,1
-0.387301,-0.34797,0.894315,1.373439,1
-0.084034,-0.910562,0.045054,2.300522,1
-1.543612,1.421696,-0.496309,-1.810567,0
-0.028532,-0.308687,1.952029,-2.002425,2
0.193547,1.166103,-0.519838,-0.979994,2
0.498833,-1.500262,-0.583694,1.940755,1
-0.033319,0.259613,1.694698,0.090254,2
-1.090734,1.567172,-1.253127,-0.130893,0
-0.941898,1.154379,-0.790821,-1.212802,0
0.439262,0.823691,0.31779,-2.985311,0
0.279656,1.994878,-0.459916,0.959465,2
-0.334329,0.49745,-0.01749,-2.916217,0
1.68382,0.202256,-1.589542,0.210921,2
-1.515291,0.328933,-2.505717,1.010807,0
2.569153,-0.981667,-3.946623,-0.317972,1
-0.815277,0.6753,-0.211303,-2.638607,0
1.094207,2.441691,-1.443702,3.526344,2
0.075841,1.581094,-0.243159,-1.482193,0
1.240759,-0.935577,-0.021585,-0.610185,2
-0.674688,0.708155,-0.851415,-1.334618,0
2.519745,-0.515429,-3.192389,1.019782,2
-0.704046,0.844566,-1.021315,-0.926158,0
-0.011594,0.585028,0.635629,-0.652846,2
-1.044173,0.826248,-2.206826,1.064753,0
-0.52628,1.637021,0.953814,-3.982273,0
2.10371,-0.899315,-2.380121,-0.055928,1
0.006454,2.400179,0.039328,1.898012,2
2.533378,-1.815405,-2.888002,0.331151,1
-2.206924,0.701755,-1.215214,-1.345468,0
-0.584105,0.977255,-0.053542,-2.618728,0
0.784084,2.189046,-1.829856,2.39079,2
3.12758,-2.94682,-1.717597,0.551963,1
1.027943,0.647006,-0.394006,1.359599,2
-1.393204,1.071451,0.400671,-0.433249,1
-0.530214,0.750713,-0.192245,-2.520069,0
0.33236,1.908482,0.330914,2.379285,2
0.208644,-0.806668,-0.259457,1.113468,1
-0.419628,0.915583,-1.530915,0.566616,1
-1.806319,0.775993,-1.79953,-0.060919,0
0.36788,0.236013,-1.53931,2.644914,1
0.985633,-0.809931,-0.641241,0.669055,1
4.182672,-2.781473,-3.702003,-1.083914,1
-1.564924,2.410299,-1.223558,0.378331,0
1.030069,-1.245313,-0.617671,1.097171,1
0.214261,-0.85088,-0.096418,2.502169,1
0.818954,1.084479,-0.493999,0.566467,2
-1.295309,0.00873,0.344227,2.169094,1
-1.527184,0.991214,-2.037943,0.78752,0
0.961889,-1.315866,-0.576552,2.5216,1
3.144432,-2.096514,-2.775726,-0.145311,1
0.291197,-0.049876,1.225834,-0.250922,2
-1.684628,1.114746,-2.136808,1.026523,0
-0.660958,-0.408097,0.340062,2.559865,1
-1.605015,1.805242,-0.462702,-1.699018,0
