@relation art49-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1}

@data
-0.332553,0.176121,-1.400628,-0.961471,0.155182,-0.546335,2.210252,-0.75818,-2.477066,1.480488,0
3.256996,-2.001073,6.185702,-1.787882,-3.997049,-0.579872,4.258209,-0.603318,2.209893,0.948281,0
2.392085,0.144602,-1.391283,-0.488281,-3.062964,-1.315519,-3.829559,-2.287698,2.682479,5.197678,1
1.189597,0.224487,2.485989,1.573136,-0.176611,3.690621,1.083894,1.342546,5.173011,0.73725,0
0.427698,-0.47574,0.668503,-0.869693,0.436172,3.329659,-1.349884,0.374396,2.981168,2.142967,0
-0.696137,3.00452,0.231178,-0.685278,-1.362933,2.366605,3.327979,-0.883865,2.550792,1.399495,0
-0.535284,-0.836473,1.551236,-1.913853,-1.096809,0.360295,-0.203816,1.754772,-0.046802,1.834805,1
-1.510863,-1.933476,1.882869,-2.965215,-0.968262,-0.282736,1.472335,2.054521,0.609592,-1.05636,1
1.38949,-1.985818,0.107783,-2.179821,0.668546,0.955708,0.826221,1.658093,-0.850961,-1.111456,1
-2.918746,-1.010213,2.877575,-4.289463,-1.05514,0.752393,0.438706,1.69569,2.126793,0.938908,1
1.353543,-1.377924,1.230907,-1.226747,-0.588494,1.61259,0.916958,0.161631,2.61372,1.875405,0
0.422648,1.252252,-0.206385,-2.64432,-0.552881,1.703443,-1.103257,-0.233901,2.247245,2.047716,0
3.936962,-2.067895,-3.849549,-1.319308,-2.733264,-3.470344,-0.618387,-1.358521,0.281185,-0.682736,1
2.061871,-0.208904,1.981858,-1.43551,-0.937669,-1.309746,2.65946,-0.613681,0.85732,0.726608,0
2.154939,-1.615331,-2.090448,-0.701583,-1.030878,-1.27044,-0.769341,0.695552,-0.245534,1.136784,1
1.14227,-0.468802,0.361896,-2.305479,-2.056567,-1.062943,-0.0847,0.390693,-0.065967,-1.678463,1
1.432707,-0.659585,-0.527976,-3.094672,-2.375526,1.829861,2.179833,-4.699115,0.497168,1.771345,0
2.088864,-2.342366,-0.885812,-2.62197,-2.230206,-2.366065,0.969665,-0.168265,1.37581,-0.10908,1
0.994282,-1.49727,0.224802,-1.182185,-0.092363,-0.592643,0.630269,1.857348,0.671859,-0.666693,1
0.168932,0.119546,1.014113,-2.940412,-2.30441,3.781393,-0.544255,-2.063679,0.260012,1.238129,0
2.598941,3.165496,4.359291,-1.09833,-2.572792,-0.332095,1.964488,-0.571271,4.180135,0.362272,0
2.64215,1.7354,3.659043,-2.697501,-2.501676,-0.206422,2.758937,-3.048684,2.553561,-0.030233,0
-0.400806,5.019971,3.658873,1.507294,-0.828298,1.270774,-1.38393,4.605668,1.844442,-0.049328,0
4.452958,-5.211527,2.844651,-3.361118,-5.525726,-0.65394,3.177209,-3.593275,-1.564248,1.230297,0
1.777926,-3.418822,-4.280877,-1.586471,0.823377,-0.296021,-0.331896,4.984614,0.907679,1.996937,1
-3.427893,0.955697,0.890331,-5.671185,-2.375461,-0.947661,-0.596566,-2.097496,-3.173872,2.974552,1
4.444002,-3.221022,1.753686,-2.814166,-3.155478,-0.594472,0.743312,-3.36314,-1.591852,-0.707415,0
1.80722,-0.570451,2.47491,-1.965621,-3.578602,3.183886,-1.311374,-0.502928,0.245138,-0.311355,0
2.198589,-0.910299,0.73394,-0.326707,-0.428749,0.519576,-0.757856,-0.071669,0.740542,1.242892,1
2.969013,-0.441121,-5.191075,-0.2941,-1.497122,-2.80263,-2.979947,-1.616322,-0.276133,1.893775,1
0.479885,0.136625,0.988668,-2.076962,-1.934781,2.96952,0.30206,-0.380811,1.576564,1.107312,0
3.011457,-2.492974,2.194901,-0.48565,-2.553228,-0.335802,1.054881,-0.879215,-1.788679,0.127249,0
1.74508,-2.818602,-4.566916,-1.713384,0.091699,-1.081851,-1.02198,3.648581,2.634682,3.1539,1
